VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
93.46477040753643,-3.547931340377545
102.83279745987647,-3.903545407225465
102.93263768063139,-3.9073354131960514
103.03247859459964,-3.9107406375624123
187.40666239090444,-6.788348764070179
281.28327730654405,-9.990176918176076
376.19809326475547,-13.227701330812124
386.1508495874052,-13.567188724133302
386.25081920237926,-13.570598648148007
386.3507889045152,-13.574567998175553
470.18733276224157,-16.903254101678613
564.1862775566192,-20.635381649875853
575.8565455961968,-21.09874183699867
575.956542474933,-21.10271213562919
576.0565393555521,-21.10851119241306
658.1807694128397,-25.871952430499732
753.1210382512372,-31.382035193248157
783.1069019788581,-33.123370863017044
783.2066772545613,-33.12916605248029
783.3064521900967,-33.134790019134016
845.8480163438401,-36.66453293955783
940.4864565351647,-42.007718801618466
962.16714343069,-43.230345162637605
962.266923831346,-43.23597048699412
962.3667044831145,-43.23888199242538
1035.3227445098814,-45.366400827062535
1046.028904614849,-45.678421078837346
1046.1288066515572,-45.6813325925541
1046.2287087203613,-45.68732449042545
1129.2401203783752,-50.66591427050116
1202.7609517341689,-55.072791058411894
1202.8609345951447,-55.07878095147862
1202.9609174527372,-55.08152398447237
1223.20935381577,-55.63704201381188
1267.44208084418,-56.85057372526353
1267.5420737646896,-56.853317043804054
1267.6420667094246,-56.85850811674209
1317.201665182023,-59.43130352625485
1411.1806756516676,-64.31103061663453
1444.213241123899,-66.02662560134195
1444.313119191033,-66.03181303921883
1444.4129970695121,-66.04000678642478
1505.032975161299,-71.01378216742523
1532.0629882371254,-73.23173508758373
1532.1627350082758,-73.23991942236535
1532.2624818492582,-73.24238409293866
1597.8094634490412,-74.86182329335861
1605.3881793512387,-75.04904845183592
1605.4879716753453,-75.05151375363312
1605.5877640253548,-75.058132235632
1692.6205178602827,-80.83106551069795
1735.1457280325963,-83.6521717511987
1735.2455527120756,-83.65879418274562
1735.345377424775,-83.66386963075456
1785.4583309794884,-86.21183681068942
1874.7784203241808,-90.75211799041608
1874.878370023181,-90.75719721397763
1874.9783198069522,-90.76442639022025
1880.3666499137412,-91.15414966152639
1963.9295796951192,-97.19773215697387
1964.0295508330996,-97.20496216510946
1964.1295219867861,-97.20056128099714
1973.3333207706087,-96.79539753768222
2005.447393050647,-95.38165890220262
2005.5473608046273,-95.37725795909319
2005.6473285423667,-95.38103486174259
2034.1333990244111,-96.45730261107747
2034.2333618700027,-96.46107953508908
2034.333324697217,-96.4604645257823
2065.301319592366,-96.26993037678403
2067.300452036242,-96.25762998086975
2099.2830994377546,-96.06082162546409
2157.2447678004996,-95.70410746824928
