VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
38.91469564707103,-0.2590546994997567
39.011234988345564,-0.2596973221789085
39.10777610857889,-0.2559760262774944
91.81328535673259,1.7754883159359451
99.96789120220922,2.0897677094253595
100.06553559668146,2.0935308308999083
100.16318235071736,2.095246902646977
179.05111842324953,3.48149029950946
179.15027311004636,3.4832324840208457
179.24942919407738,3.480926814800114
184.33037437938802,3.3627796298478643
264.7932127414924,1.4917371879000711
264.8931580859031,1.4894130653610773
264.99310378499035,1.4842388555280195
279.049168190667,0.7565522777676961
373.03722847171287,-4.109152957706101
408.4768900817671,-5.9438378940158145
408.57684187280074,-5.949012407952978
408.6767934981092,-5.951810117470814
467.9567525618239,-7.611471768472256
521.272570220461,-9.104003855249175
521.3725076972225,-9.10680060071536
521.4724452886269,-9.110012793174974
561.8683706021637,-10.408760067251933
656.8222699774025,-13.461836585023775
675.4734801246273,-14.061382564292217
675.5734352672457,-14.064595391193507
675.6733903358931,-14.067630097924848
750.7400670928619,-16.347241613824735
795.6857187029327,-17.7122880609586
795.785670757441,-17.715323320171592
795.8856230077754,-17.71766971611578
845.6833137883061,-18.886696058785674
908.7225898478614,-20.366582813589048
908.8225875091653,-20.36893029910607
908.9225851606416,-20.37336993768622
939.6805710750107,-21.739019146227292
1034.6698264223035,-25.956815524916237
1128.6137556723268,-30.129200456753097
1139.640698063981,-30.619055737695817
1139.7405712774896,-30.623492443543
1139.8404444320208,-30.62321836805131
1161.114221933566,-30.564838711150514
1161.2140814043782,-30.56456467890166
1161.3139408065974,-30.568067213871473
1222.47046382595,-32.713101982079024
1317.3402114480066,-36.03987606613737
1340.1553583503533,-36.83975387740429
1340.2551888291246,-36.84325383171927
1340.355019354165,-36.84920265029905
1411.1897134833266,-41.07046903166156
1478.6043034801935,-45.08920228260649
1478.704089032539,-45.095152219941156
1478.8038744689682,-45.10145277124684
1506.0063922590066,-46.819309062359025
1577.8984302751935,-51.36462036030025
1577.9979792605443,-51.370920638741154
1578.0975279056556,-51.37138293768476
1599.6526148779824,-51.47151531540112
1694.3344735316032,-51.91081009390655
1724.3955877995672,-52.04996420293719
1724.495493031707,-52.05042631847209
1724.5953984454354,-52.051641977703184
1788.2492615995411,-52.8260641611505
1843.2406127353563,-53.495050598026864
1843.340578847749,-53.49626682711096
1843.4405449639967,-53.50103991803917
1882.2050648464253,-55.35230064089956
1931.1501302943898,-57.6896362035277
1931.2500964024991,-57.69440883192328
1931.35006248227,-57.69470722868573
1977.1625192241147,-57.831457709118695
2032.0889082030485,-57.99541356667578
2032.188875345325,-57.99571196744728
2032.288842525921,-58.00150702795872
2071.1226949378492,-60.25286519457768
2108.6045772103394,-62.42580832627573
2108.7045469568943,-62.43160334445929
2108.80451666179,-62.431951682036015
2166.081270068585,-62.631544261641466
2212.8010255890504,-62.79434872194179
2212.900995144116,-62.79469705856536
2213.0009647486086,-62.801953624959424
2250.2943122674055,-65.50933623461606
2250.3942773446383,-65.51659431268672
2250.4942423477173,-65.51723665239479
2260.0413483405537,-65.57858510147526
2342.951063295292,-66.1112584683633
2343.050997299278,-66.11190038334462
2343.150931185327,-66.1136221476354
2353.998255287703,-66.30051474179345
2448.888324119027,-67.93555142810146
2451.4838251212636,-67.9802771014638
2451.5836675715154,-67.98199758715054
2451.6835099956115,-67.98453739116303
2542.729103962443,-70.30061440386817
2561.707095027911,-70.78339584271998
2561.806909656487,-70.78593501287469
2561.9067242680435,-70.78861988925746
2617.065478582033,-72.27228891814411
2617.1652834980987,-72.27497343987307
2617.265088395975,-72.27786479580391
2637.548272573332,-72.86546736696255
2731.3372419851066,-75.58259023563551
2799.850062611841,-77.567129303412
2799.95001852891,-77.57002407654545
2800.0499745832394,-77.57267927823887
2826.2404699348244,-78.26845681084524
2861.586099234319,-79.20759039735458
2861.686063898104,-79.21024662374657
2861.7860285217994,-79.21461097505198
2921.200101340595,-81.80889222353471
3002.1881993692364,-85.34392718060371
3002.28812767654,-85.34828682604348
3002.388055780515,-85.35239694050506
3015.1539571539024,-85.87753832247472
3109.966384708221,-89.78019098685218
3203.738542345713,-93.64154759805206
3207.0208802838897,-93.77669572896593
