VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
31.03594397147033,-1.0541466685135674
55.647897380242696,-1.8900854910752969
101.84248860964142,-3.4591683834441938
101.94234948377468,-3.4625605247183557
102.0422112959882,-3.4668136902128026
118.40135091704882,-4.163578678984777
163.09970608889716,-6.067531155473262
163.19965515722964,-6.071788797473346
163.29960419538236,-6.076118225751998
213.35175809274904,-8.2443609999209
298.15269872938796,-11.917498689483182
298.2526418914382,-11.921826894073092
298.3525850474418,-11.925674937587246
307.29596683940053,-12.270010880360132
401.22077218776394,-15.886383597213353
446.1434563428088,-17.616022874974078
446.2433936453902,-17.61987052733639
446.34333102942855,-17.622381673796554
496.1612227714494,-18.874252316227285
590.1037698060367,-21.23723476359919
684.9839891538212,-23.62536286426439
688.8808283946349,-23.72342175610902
688.9807461237517,-23.725936073718913
689.0806637910916,-23.731082214078924
778.8787920190595,-28.357200084576107
872.7907808575076,-33.19343728173226
876.6884917275983,-33.39403490926634
876.7884319989616,-33.39917841404713
876.8883722187239,-33.40063484816528
967.7096118953838,-34.72427749420967
996.5805406448546,-35.1450275774896
996.680454405841,-35.14648349228082
996.7803682531278,-35.15147812582836
1061.636797251662,-38.393499099729524
1126.0313967370696,-41.61238191708435
1126.1313149717014,-41.61737660725521
1126.2312331537873,-41.62141716002043
1155.5663829950654,-42.80770890612803
1249.5053652508634,-46.60643853006695
1253.3863974276383,-46.763373751033214
1253.4863599295877,-46.76741586420394
1253.5863224355182,-46.77023000107329
1344.4536975600654,-49.32941599604965
1395.8076699461637,-50.77626577625415
1395.9075673051163,-50.77908009492057
1396.0074646295482,-50.78287450543394
1438.3566879806415,-52.39136635992327
1532.2639266072404,-55.95747569535342
1583.4736444323119,-57.901649562953025
1583.5735766931846,-57.90544302959279
1583.6735089574684,-57.908862820133436
1627.1967903787804,-59.39823782962958
1721.1508482498268,-62.613393807996545
1816.1251758332144,-65.86380698720859
1829.0179532162508,-66.30508116591773
1829.1178988257832,-66.308501944628
1829.2178444599663,-66.31151091944048
1910.0811270190634,-68.74591603568842
2004.0641383825293,-71.57488868751352
2096.4324861183195,-74.35434043215355
2096.532427547085,-74.35734710914949
2096.632368836003,-74.35902917567546
2099.0447202717037,-74.39963072004139
2192.992220072733,-75.98072916795718
2287.9495820433726,-77.5785934849846
2313.567820602593,-78.00960063879756
2313.667795401855,-78.01128246094049
2313.76777022979,-78.01255157723244
2381.918991643753,-78.87800861921642
2475.8541328467863,-80.07146334562276
2569.7996648562,-81.26472551011648
2605.4931326051405,-81.71789410392921
2605.5930484654264,-81.7191625733467
2605.692964264727,-81.7202699649788
2664.7110228017323,-82.37436305861593
2758.5880581592987,-83.41483934258395
2825.375441089457,-84.15512372912963
2825.4752426977125,-84.15622995156446
2825.5750442112007,-84.15769655449367
2852.4181222799525,-84.55216155917515
2915.6166164929396,-85.48089940097998
2915.7163629168704,-85.48236526358414
2915.816109294028,-85.48496033261108
2947.184042626717,-86.30105975724655
2947.366122381353,-86.30579698284419
2947.4658543969144,-86.30839174057292
2947.5655866625016,-86.31042521317613
3041.0254137252714,-88.21592748118928
3134.9342764461608,-90.13054800311329
3228.866458118445,-92.04560384792057
3292.729111420965,-93.34750660783902
3292.8290345095684,-93.34954355972877
3292.9289575282332,-93.35362093160256
3323.8015615983045,-94.61346093731845
3417.7311669985606,-98.44684148547276
3511.693841228355,-102.28110983091756
3606.644064868756,-106.15545904736427
3612.5395817667827,-106.39603613737745
3612.6395094557024,-106.40011378519193
3612.7394372636577,-106.40240737802014
3700.6050978084645,-108.41924411832952
3795.574146836259,-110.59921097679216
3873.293916444629,-112.38318629807873
3873.3938662041423,-112.3854805122337
3873.4938159498447,-112.38897792935131
3889.530133958309,-112.95011760358648
3983.451466203875,-116.23661953458395
4050.50061613948,-118.58275816559762
4050.6004988324507,-118.5862530966042
4050.7003814552613,-118.58879348192932
4077.342717887221,-119.26655773744824
4171.196908826301,-121.6547610872567
4212.017271034021,-122.69387121298132
4212.117041191315,-122.69641182262421
4212.21681114356,-122.69884226782415
4265.956459333321,-124.00886162101597
4359.73742805309,-126.29399567926885
4411.597721717937,-127.55536501075039
4411.697675254945,-127.55779439894832
4411.79762886119,-127.56121287854148
4453.680983806322,-128.9937159113415
4480.268786282673,-129.9031279011342
4480.368729974041,-129.90654642224035
4480.468673601088,-129.91104518191605
4532.725935498923,-132.26353754706543
4532.825838162791,-132.26803537189699
4532.925740735019,-132.2727567509737
4548.6117858460275,-133.01410112769736
4642.504960599374,-137.45120748331465
4724.222098795328,-141.31272091467326
4724.322037331097,-141.31744383879413
4724.4219759086845,-141.32146704358274
4736.42735296317,-141.80477350895308
4830.3296633567015,-145.58627249708115
4911.144251565378,-148.84100995526023
4911.244191249301,-148.8450340608415
4911.344131022856,-148.84490550575356
4925.2365939752235,-148.8270359129565
5019.172170209741,-148.70618483661565
5113.108906738373,-148.58533056441593
5230.055952673358,-148.43490504859437
