VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09685922364320732,0.0008571275502617937
0.19372471787127665,0.011395078989153262
29.123542248448217,3.157408313260021
29.221993062894256,3.1681103053779225
29.320448273490115,3.1682832039186906
53.55540559954406,3.210836589587416
53.65474910874744,3.2110109994864615
53.754095441991154,3.2073048288675636
66.7173247149166,2.7236480140945787
161.4714864348425,-0.8138024537893216
255.32149577579864,-4.3183408666882315
281.345604981938,-5.2896818665576575
281.44555630798527,-5.29341176082562
281.5455077846501,-5.293416112135674
349.2760778546242,-5.296365896698262
380.16320341888047,-5.297711366434669
380.2631625817761,-5.297715719902044
380.3631217147745,-5.300827208911869
443.1971223320753,-7.257464807862561
495.76129449382256,-8.895272781122912
495.860897072066,-8.8983768522412
495.96049923430326,-8.904208625046522
536.8369726967968,-11.298737964487373
565.1458275999319,-12.957996121886026
565.2452178373039,-12.963822057967263
565.3446080061348,-12.967201791212574
631.2449249015616,-15.208455778469215
724.6091520501976,-18.38426742433876
818.125266041152,-21.55913700610654
834.9108915503933,-22.12787769089846
835.0104829102389,-22.131251930013605
835.1100743234182,-22.135996133760273
911.7550074659495,-25.787212745302895
929.7259194052668,-26.64333435340268
929.8255509652596,-26.648080714401658
929.9251825458138,-26.647054130418837
1006.4105672909583,-25.858975153343636
1035.2885616229873,-25.561430608504452
1035.3882010215486,-25.56040397387369
1035.4878403947318,-25.561525901306595
1100.0673368684868,-26.288682904634697
1116.531170792585,-26.474063381427186
1116.6307954711178,-26.47518514071453
1116.73042016001,-26.47796305632437
1194.713757342764,-28.652450235244032
1288.441279697119,-31.266473442346978
1338.5996699289278,-32.66548950633478
1338.6996065866547,-32.66827663194272
1338.7995434835325,-32.673847728874534
1383.357360536493,-35.157792999094454
1477.3556915339277,-40.39789954126172
1571.3467630896805,-45.637604755409484
1634.157910387502,-49.13912568636624
1634.2578897578314,-49.1446991923076
1634.3578691277692,-49.1509524623325
1666.3257640755935,-51.15033579906776
1760.2776171902963,-57.027369740822905
1812.2901852206323,-60.282060603369246
1812.3900384295384,-60.28830983507214
1812.489891491322,-60.29142509002668
1855.135301760685,-61.62265502262926
1948.941066711134,-64.55144741600816
2037.880847155465,-67.32848862841456
2037.9805341894478,-67.33160265493643
2038.0802210617528,-67.34261624524152
2042.7060412437097,-67.85369414231354
2137.526833671296,-78.3178981900237
2139.322635321313,-78.5158478214853
2139.4225267038337,-78.52685865894455
2139.522418062449,-78.53451520055023
2231.405537544141,-85.57840114940518
2325.2280315075946,-92.77321201499763
2420.0352749556478,-100.04429908673228
2456.3501820584147,-102.82934285134252
2456.4500133390225,-102.8369991988784
2456.5498446549755,-102.84000176091831
2513.879636402286,-104.56434001124944
2589.832353740282,-106.84830361971217
2589.9323221986533,-106.85130897423005
2590.032290740972,-106.85405621432801
2608.8126566693163,-107.37018218903359
2702.804444719791,-109.95349174126022
2797.768278791695,-112.56408355838539
2816.3175325676057,-113.0740862880375
2816.417429606982,-113.0768328300419
2816.517326574417,-113.08099507000225
2891.636456428897,-116.21035248860244
2923.993181727991,-117.55807497688693
2924.0929696257235,-117.56223135714936
2924.192757545269,-117.57193949452812
2986.438018992163,-123.62766477644618
3047.598602905352,-129.57771579217479
3047.6984448562253,-129.58742870259084
3047.7982868688696,-129.58728486989094
3080.2804872212123,-129.5404911867372
3136.620412268606,-129.4593304041682
3136.7203686735493,-129.45918641452045
3136.8203251944387,-129.46331427724
3175.2218546707563,-131.04919214243455
3248.8672708867343,-134.09056080478695
3248.96726896932,-134.09469042451383
3249.0672670409667,-134.09622697094528
3269.2180500542904,-134.40585515028033
3363.1855197560876,-135.85026546394147
3398.362773406429,-136.391175621804
3398.462713222382,-136.39271229603582
3398.562653095165,-136.39294188916938
3458.1313412951777,-136.52977522985384
3552.088835904141,-136.74559257308283
3565.2492927390717,-136.77582409424213
3565.349234993189,-136.77605368013428
3565.4491771745516,-136.77906549135332
3645.9942961942834,-139.20662726754927
3677.624435565134,-140.16003422410176
3677.7242552258977,-140.16304298236173
3677.8240748854078,-140.1666087386002
3740.8227543057146,-142.41698339128925
3757.072314521327,-142.99741084559355
3757.172144674894,-143.00097669636125
3757.271974897261,-143.00547884718617
3834.6816337526625,-146.49625548019867
3929.462847011365,-150.7746551592536
3967.701803495488,-152.50190101574663
3967.8015933624847,-152.50640668675806
3967.9013835815294,-152.5065510856457
4023.2809071383663,-152.58666480852662
4118.257165720895,-152.72397081269446
4172.77986157965,-152.80276313243849
4172.8798489864685,-152.80290762627192
4172.979836366149,-152.80090390603436
4212.246098387156,-152.01401601442194
4307.236208845716,-150.1101364140377
4401.197013655039,-148.22622110092925
4473.546144485809,-146.77541759500855
4473.646009569241,-146.77341514205364
4473.745874432683,-146.7769980382709
4496.09767766348,-147.5789173578978
4589.918711658738,-150.94461341396163
4683.766201259996,-154.31085604249347
4726.349958585338,-155.83826814888926
4726.449859568389,-155.84185145061747
4726.549760617631,-155.84613299997363
4778.674342499364,-158.08013023583408
4873.575324173786,-162.15062775650586
4967.229751142205,-166.17489964106426
5019.165738199876,-168.4088628449117
5019.265139160948,-168.4131383820859
5019.364540169461,-168.41543207912946
5061.658403898782,-169.3913443298461
5155.197603498728,-171.54837832244448
5219.687477277103,-173.03450060324212
5219.786975600621,-173.0367932455265
5219.8864737533995,-173.03947497266927
5248.750987060585,-173.81743453242962
5343.312671425107,-176.36429762924126
5436.814441825236,-178.88061273678977
5500.099587439657,-180.58347527319893
5500.198906529773,-180.58614762163597
5500.298225590718,-180.5912333687338
5531.171957622456,-182.17215252989627
5535.927856108389,-182.4156805473467
5536.027194000427,-182.42076716020892
5536.126532461559,-182.4219990675465
5608.1130314505435,-183.31493444788975
5608.21266313801,-183.31617060731332
5608.312295065887,-183.3215909274586
5624.721677005263,-184.21441699660681
5719.571196432686,-189.37429309543768
5739.383425738306,-190.45169040242217
5739.483410636695,-190.45712707574603
5739.583395619681,-190.45961684542453
5762.56449426569,-191.0318640445348
5811.563563184746,-192.25194671627833
