VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09594986306522912,-0.030798750787653262
0.19190399897253485,-0.035652542659590836
18.084096595993557,-0.9406905115374684
18.180807626349292,-0.9455822715208342
18.27752249039756,-0.9583434934611432
44.493711413561655,-4.417568782209855
89.45150912736399,-10.349832326126489
89.55084407151104,-10.36293963461867
89.6501815642711,-10.364243307605648
138.73162239269368,-11.00836809188877
224.23519898534002,-12.130491298561537
224.3351895444625,-12.13180356362136
224.4351800871545,-12.13166266051303
233.72671839683449,-12.118569209347697
328.6923007930782,-11.984707393199642
423.6561117687439,-11.850847413186784
494.730165124611,-11.750703697567587
494.83015472858665,-11.750562832154174
494.9301443253876,-11.749421364958835
518.6449079297695,-11.478692236569259
613.6330028968516,-10.394258218819232
708.6260979511794,-9.309801611929288
803.615444348929,-8.225442734063108
833.5729129639848,-7.883464518699839
833.6729017110301,-7.882323119474677
833.7728904607603,-7.879555200606774
898.6038588482486,-6.084871332928742
993.599798667864,-3.4551726492882153
1027.2151268838884,-2.5246411446842103
1027.3151212227133,-2.5218731219520123
1027.415115571815,-2.5242500548374665
1088.5950622953446,-3.978543521830943
1183.5897508364965,-6.236718598918742
1235.5357849003399,-7.471555844284012
1235.6357777035544,-7.473932746101127
1235.7357704451333,-7.483503775063582
1277.5737334028256,-11.489140975019836
1283.610603949837,-12.067290383418367
1283.7105323515627,-12.07686086702779
1283.8104605977855,-12.08190972911325
1352.029275241758,-15.53237786248792
1352.1289919378696,-15.537426925955515
1352.228708171244,-15.535678182313859
1372.3920870084635,-15.182003098892892
1464.1596527315908,-13.572915994855066
1557.0097333527603,-11.945518361075301
1648.9587053791213,-10.335441717159483
1740.9501184987823,-8.726545342344252
1791.9019099338436,-7.835561191614033
1792.0018958766793,-7.833812816079444
1792.101881809762,-7.836961762266583
1832.9357731025423,-9.122984892084787
1924.8990402581853,-12.019362675706361
2016.8783381677456,-14.916020330625543
2100.9883254318715,-17.56446169769697
2101.088246800758,-17.56760786423729
2101.188168075535,-17.569808351505344
2108.8332393623227,-17.738174539805186
2200.76612703714,-19.762633050660952
2292.7068832042046,-21.787014996041762
2321.109620346275,-22.41230148105933
2321.2095661950693,-22.414501486811787
2321.3095120797634,-22.416924858744096
2384.6579052293196,-23.952904910142024
2476.635804313933,-26.183012299308757
2522.6327006473753,-27.298258197970426
2522.7327003206588,-27.300682814216998
2522.832699995637,-27.298937180217763
2568.633826729772,-26.49937921570927
2651.1164996429534,-25.05935154771396
2651.216483268422,-25.05760591776925
2651.316466876355,-25.056260682971697
2660.623813807464,-24.931034684201222
2752.6109455046253,-23.69336975751321
2844.604663113142,-22.45559883085116
2939.59980725557,-21.177382369774932
3033.5563770671056,-19.91302732418808
3065.0084945279095,-19.489762123115725
3065.1084072355075,-19.488417538384965
3065.2083199101503,-19.49885758349228
3126.591358732005,-25.914413826518285
3126.6912307345838,-25.92485462825789
3126.7911026378297,-25.92659383841965
3128.463315011492,-25.955714665895357
3170.603264602106,-26.68966806460594
3170.703108740612,-26.69140729073115
3170.802952810058,-26.683546610736812
3222.3124534476924,-22.627476579777067
3230.2492817102084,-22.00243604563002
3230.349104162627,-21.994575513588643
3230.4489268434327,-21.996788530477716
3317.2105913242303,-23.919000005567796
