VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
95.53544565628255,-3.933044793875524
133.42143741152893,-5.492846014778479
133.5213176641971,-5.496957575885972
133.62119768282525,-5.49868638481712
189.38365793057048,-6.464680822660739
284.04895650101906,-8.106158533966664
377.6812787734296,-9.729495344432507
471.2843123627846,-11.351741131551535
482.4245169593855,-11.544787218670535
482.5240711954635,-11.546512325237927
482.62362532376363,-11.549831132535473
565.8197668847565,-14.322966539930349
659.2416291757615,-17.43615903528371
676.7700922812328,-18.020136996119618
676.8695507757575,-18.02345017663174
676.9690100237268,-18.02176158346083
753.8909668737374,-16.715503138662825
847.7285727181297,-15.121594863834616
942.6639442107561,-13.509186879871777
970.6618235247934,-13.033648982403975
970.7617796457791,-13.03195100697667
970.8617355082504,-13.037033760980194
1037.533262346905,-16.4318632741506
1129.3908442040902,-21.10981899661965
1129.4907817901712,-21.11490231009884
1129.590719449271,-21.12219862256643
1131.3639661318934,-21.251661448068262
1226.342300512356,-28.187894989618144
1255.7190796036896,-30.333841742283767
1255.819029565624,-30.341142893930737
1255.9189795611987,-30.346172259178275
1320.3001354286262,-33.58548057270491
1415.2769464331818,-38.36347480758195
1454.3060493476514,-40.326926890624236
1454.4060168823307,-40.331956371495835
1454.5059843752424,-40.335097569704885
1509.2423155159022,-42.05525963297441
1512.67100073432,-42.163023674809665
1512.7709446083086,-42.16616489106673
1512.870888572509,-42.17165212238069
1604.1905994593121,-47.185121911999886
1698.067751623848,-52.338170612109025
1792.9883308454714,-57.54851796267576
1886.96783217933,-62.70755556516269
1921.7823525327503,-64.61864393387623
1921.8823322815,-64.62413221806491
1921.9823120361516,-64.62876105239593
1981.9487919646858,-67.40513274460864
2022.358513321588,-69.27607227232511
2022.4584904954772,-69.28070109045984
2022.5584676570106,-69.2841911801188
2075.9261266089047,-71.14720172283705
2170.889407959144,-74.46227963089586
2264.827527432836,-77.74162210618124
2359.7428665034367,-81.05507699648115
2453.646028499789,-84.33315965747715
2548.504179374131,-87.64460451280502
2632.2576690783653,-90.56840910551182
2632.3576579190235,-90.57189969690808
2632.4576468227874,-90.57393413975115
2642.437634035994,-90.77699420500358
2737.4289836022153,-92.70979132809589
2831.422435047576,-94.62225889048204
2926.384961153635,-96.55439107232996
3020.2270347878666,-98.46365457599677
3048.732958416262,-99.04359602693148
3048.8326685950256,-99.04562457950124
3048.9323786347613,-99.04711832971043
3114.924948264402,-100.03576540830363
3208.5285698521916,-101.43804007907602
3289.635241059495,-102.65302995851198
3289.734689930088,-102.65451967812078
3289.834138675181,-102.65075581130986
3303.0437571866387,-102.15080604484683
3345.997528746995,-100.5250767553971
3346.097213925578,-100.52130375194429
3346.196899590751,-100.5231081128477
3396.7489433941505,-101.43823462941691
3490.6176279102624,-103.13785202118925
3499.7340759948893,-103.30293845607594
3499.833928719697,-103.30474673174831
3499.933781492458,-103.31153516404083
3563.794477105403,-107.65578845070013
3563.894286041146,-107.662582410916
3563.9940947920613,-107.6602853097811
3585.4569741041964,-107.16615773340527
3628.035334675509,-106.1852770904843
3628.1350270350185,-106.18297974344023
3628.234719224847,-106.18681621744508
3679.1592817873097,-108.14745004783981
3772.7848809049215,-111.75291922439828
3782.3275586354307,-112.12023280404901
3782.427218540778,-112.12406798217125
3782.5268790671257,-112.13000841902249
3867.607905990854,-117.20082319199719
3962.570228003744,-122.85920320069454
4056.529008198019,-128.45708534709593
4098.097923071385,-130.9336488146091
4098.197880925263,-130.9396039584808
4098.2978387394705,-130.94293067981198
4151.47960851167,-132.7130775146088
4245.402134329068,-135.8391578566916
4340.279369251824,-138.9972779696527
4434.090945322821,-142.1220774391786
4528.913871900956,-145.2805464303783
4622.784408911555,-148.40501830644462
4716.657686167768,-151.52816339415403
4811.507469997463,-154.68290041622822
4867.300981246561,-156.53866340126115
4867.4007341363495,-156.54198170655036
4867.5004868745455,-156.54760983446795
4906.282740404004,-158.73587134155787
4999.954639481929,-164.02274632167064
5063.877028323397,-167.62992382438097
5063.976633218228,-167.63554235896845
5064.076238019865,-167.64871919852885
5094.580218076389,-171.68462451382948
5180.532071531687,-183.0595753091602
5180.631489146792,-183.072734047857
5180.730906570215,-183.07817727876864
5188.097938566724,-183.4815443911648
5282.61502478508,-188.65953980759696
5297.657074571842,-189.48409304783672
5297.756654421845,-189.48955206239953
5297.8562344077045,-189.49213537869946
5377.242113188013,-191.55302209159163
5437.964661169376,-193.13180742524128
5493.658341564702,-194.58103638655848
