VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
17.483058983097493,1.7438135914471786
17.582041213246875,1.7536861863773083
17.68102546814179,1.7484617661284574
93.44684759208181,-2.2499756395754957
188.3821907508665,-7.259332597710454
282.3472204882912,-12.217490032733622
377.3176355788644,-17.228990718269415
471.2842398537958,-22.187714609563045
566.2214046559943,-27.198730951335165
660.1624609625578,-32.15562442738883
755.0863912264124,-37.1626218911515
812.2354085433274,-40.17736677174253
812.3353154072431,-40.18263665507948
812.4352222480484,-40.18381733971546
849.0001793982462,-40.615946964178875
942.8832535383223,-41.72548646838732
1036.7246410328837,-42.83448526758002
1131.5492226428898,-43.95539467101844
1225.371492891005,-45.06476353396283
1319.2830273654406,-46.17496641910475
1413.2514536029162,-47.28561084979992
1508.2431666870302,-48.40829149912497
1593.1620798775418,-49.41185130728263
1593.2620426136532,-49.41303259731467
1593.3620053002653,-49.41027259517068
1602.2222861396322,-49.16563720226077
1697.2006321126553,-46.54327937703056
1791.1858176882183,-43.948367994617
1799.361876458009,-43.72262825108555
1799.4618515434945,-43.71986795176781
1799.561826592247,-43.72482154900899
1885.1437685973467,-47.96531584672266
1979.0426113173633,-52.61802226329564
2072.9746052767928,-57.27223941065495
2166.9307281533993,-61.92747378315471
2211.7539749248685,-64.14834635025727
2211.853919966848,-64.15329838867183
2211.953865001236,-64.15456103614633
2260.8782240879173,-64.7726327575856
2355.851937438982,-65.97245216435476
2449.847001336075,-67.15989739203906
2544.8376938802567,-68.35987709660185
2638.816871229257,-69.54718061989843
2733.7537369152915,-70.74645335889181
2827.6428156593543,-71.93247929442259
2904.1579114501124,-72.89933628177096
2904.257643195819,-72.90059665259287
2904.357374581132,-72.90438193453883
2921.4545438752684,-73.55340751987933
3016.167919402983,-77.14888925403284
3110.004420919231,-80.70882490388249
3203.907943653538,-84.26976522971745
3298.838659690501,-87.86872610797946
3392.7088026847123,-91.42614919201333
3487.431254219222,-95.01535615807916
3581.275628019118,-98.5693475702119
3676.1991227511185,-102.1617271587329
3676.416797570343,-102.16996316032055
3676.5167105714527,-102.17374349153943
3676.616623534313,-102.17211360729561
3770.0967531920937,-100.6471668778704
3864.0125708471596,-99.11511640778917
3958.9326018794127,-97.56668823227847
4052.8618937395267,-96.03441882788684
4146.818706040079,-94.5017011793625
4240.778104489985,-92.96894691499074
4335.7399553152,-91.41983952656665
4414.807080096523,-90.13001817227087
4414.907077907757,-90.12838690739954
4415.007075712724,-90.12866581161688
4429.732596059703,-90.16973804125519
4524.721343772737,-90.43472645211114
4618.694847036085,-90.69693799564266
4713.651510467274,-90.96193198020774
4807.629516196014,-91.22411734520756
4901.616749062369,-91.48628971245307
4995.569462552003,-91.7484653815427
5072.493701961836,-91.96318191684077
5127.426940546465,-92.11653500658758
