VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09659115375075089,-0.001679929251622525
0.1931866677000471,-0.0029366257313085953
31.443745248495873,-0.4094824680396414
31.541601999984294,-0.41075544666273345
31.63946221420474,-0.4156572814081301
56.898781530851835,-1.6808771785454155
56.997441716020234,-1.6858188996338868
57.09610463809196,-1.6849516524071078
69.70057531811722,-1.574158582739983
72.36553700298725,-1.5507336749124079
72.4645636134689,-1.549863235142766
72.5635915457407,-1.5596262628077966
164.21881391267573,-10.596082587442652
167.0935612281724,-10.879518485258814
167.19342404867322,-10.889364472213856
167.29328701456248,-10.898479075543946
241.5212523916712,-17.67358144210266
241.6211973551873,-17.6827041590077
241.7211423942852,-17.68609537665725
258.13820790099334,-18.243145065598583
353.0910048932122,-21.465451249930993
439.39270181970556,-24.39328387572641
439.49268049214896,-24.396674231209545
439.5926590305436,-24.397921881269212
448.07507995709767,-24.503789339250943
518.944432084805,-25.38970069273273
519.0440669064471,-25.390948013522575
519.1437009539987,-25.389380397577042
542.8473520651094,-25.016087741088995
559.8553395917605,-24.748129897663603
559.9548672105683,-24.746562662268843
560.0543953961375,-24.747703554290638
619.0060864250777,-25.42254694291114
619.1058804218145,-25.423687770962715
619.2056747494057,-25.425762102695444
636.5319633043925,-25.785879973835108
731.4264689208475,-27.757528456702858
825.343460775458,-29.70827227470363
846.007361801101,-30.137458958930438
846.1073080641297,-30.139534794820065
846.2072544498504,-30.1409880186784
920.3120421118906,-31.21854428073675
1015.2988062527521,-32.59991609329154
1109.2811866670638,-33.96671290082304
1121.1639007243973,-34.13952079013325
1121.2638776343413,-34.14097475417839
1121.3638545168174,-34.142735667666784
1204.247555204341,-35.6027996149769
1299.2177999102553,-37.27574840188572
1335.2500608638138,-37.91039425573581
1335.3500315589968,-37.912155134356
1335.4500021893734,-37.91539882267898
1393.1792137862917,-39.78843941331252
1488.0982219360772,-42.867914068374375
1582.0240920712886,-45.91622927033859
1676.8693966550177,-48.99589355606804
1771.6677996875956,-52.074643411328
1782.766402731666,-52.43511741400653
1782.8661817135167,-52.43835812080761
1782.9659607916678,-52.44247764659849
1865.4900368443575,-55.848711504319
1955.45881921235,-59.55855503527164
1955.5587057382468,-59.56267083194325
1955.6585922139323,-59.56660878243383
1960.3779991819433,-59.75267163472381
2055.2558804818527,-63.49319734963319
2149.136337332182,-67.19566595547076
2243.9361248539713,-70.93718122908103
2288.2874772827245,-72.68812897147473
2288.3872656254407,-72.6920681856027
2288.487054161664,-72.69436688858877
2338.73680151464,-73.85166883236343
2433.6273504505916,-76.03651858596277
2503.489426526522,-77.64471938022325
2503.5893236628563,-77.64701858088301
2503.689220783788,-77.64991807721162
2528.5300182234905,-78.37092227653557
2622.446675870513,-81.09688060447115
2717.4077544321635,-83.85329505045593
2812.3120112743536,-86.60870678852916
2888.8900561879955,-88.83224188081113
2888.9899719261657,-88.83514276920505
2889.089887814028,-88.83835722216645
2906.163791208547,-89.38761929810244
3001.101661213821,-92.44137116486672
3096.0458013980888,-95.49506879409455
3189.9973271628182,-98.51685337773051
3244.2652143835767,-100.26221453353173
3244.3651776213064,-100.26542933496785
3244.465140879661,-100.26928203948773
3284.959286579268,-101.83003378883404
3379.9318104966173,-105.49078521882257
3388.5287099025177,-105.82216816977962
3388.6286813451175,-105.82602176351975
3388.7286527723018,-105.83114778839445
3473.898357839762,-110.19857678000153
3483.5600663498144,-110.6940629067758
3483.6600207810425,-110.69918893079193
3483.759975209369,-110.70325477828919
3568.8540126517287,-114.16468399281439
3663.818397489741,-118.02665426892963
3668.4157898934163,-118.21357225553402
3668.515744537208,-118.21763621581522
3668.6156992123865,-118.21857192971038
3757.7677865239793,-119.0533025637651
3852.708585957471,-119.94228903271141
3947.6711427045125,-120.83134102457734
4001.161496588653,-121.33205611222365
4001.2613830959817,-121.33299104957769
4001.361269388533,-121.33942690792719
4041.568961349455,-123.93035716771374
4136.366786419865,-130.03967217310674
4231.219668168986,-136.15096698545676
4326.108913146675,-142.26295241036314
4397.024586867265,-146.83061600225483
4397.124488601791,-146.83705051729703
4397.224390348808,-146.84910243691957
4420.013508042241,-149.59833682723547
