VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09712346761533652,-0.006114993216215225
0.19425095547505222,-0.001570318321682862
26.63771810688898,1.2356558933452106
39.87359378104898,1.8548330468256609
39.972217644933394,1.8594462782166374
40.070844919437235,1.8579810974424618
113.06988089168547,0.771656652573256
113.16953341984207,0.7701711615509339
113.26918531826742,0.7701858287509822
119.94098326973314,0.7711681349255741
163.3231393847422,0.777558574332943
163.42269833887576,0.7775732424843227
163.52225719171267,0.7757811134397343
213.5208106340059,-0.1244097506523758
246.50558806575856,-0.7177206381065844
246.6052861375051,-0.7195118972294949
246.70498470970745,-0.7203429762475935
307.27630566684064,-1.2247309699196194
319.79283315510696,-1.32883736689746
319.8927382355664,-1.329668233157463
319.99264340088246,-1.3308944067539414
402.19961670001743,-2.3401825725150047
496.10745166306737,-3.493724805885904
591.0118377490568,-4.659737148609565
683.8817474551346,-5.800769530468642
730.95208116861,-6.379061674340846
731.0520306301507,-6.380289548113069
731.1519802857115,-6.382641899793271
777.8110796593106,-7.480754850540507
871.7787285660528,-9.692315511808374
966.715862576133,-11.92682412809063
1060.6367497808412,-14.137500935913522
1155.603833084558,-16.372472600240144
1249.5847272541264,-18.58384545349145
1344.5615494275582,-20.81865555906097
1438.5522461702833,-23.03027110351013
1533.5475589995287,-25.265567995711535
1627.5213573625547,-27.476940841490432
1721.4900778647361,-29.688189685292855
1816.467435797878,-31.923059531230138
1889.4582706694825,-33.64055561420537
1983.4579402794845,-35.852413889966556
2078.4572054709693,-38.0878782978325
2120.8852789519096,-39.08626944302159
2120.9852762468845,-39.08862243502608
2121.0852735244202,-39.08971853956882
2173.4507812935167,-39.663754393819545
2224.520949604142,-40.22366272045019
2224.620893323536,-40.22475852044499
2224.720836963363,-40.227720029874945
2267.398924111426,-41.49257465030132
2361.2342119936648,-44.27601672423134
2414.7900394439594,-45.86518429564876
2414.889861749225,-45.86814526701255
2414.9896842062417,-45.86940755230171
2456.052950470798,-46.388639858431816
2550.97304415382,-47.588691270080744
2644.9106479849424,-48.776257076166985
2738.837577770896,-49.9636060885141
2832.7648759514104,-51.15086423076718
2927.7048240743575,-52.350954898269265
2950.069930341582,-52.63365833987427
2950.1698652169594,-52.63492155568201
2950.269800086081,-52.63812079281979
3022.6414527463003,-54.95496543651825
3117.571668878884,-57.993958199010194
3211.5003331079047,-61.00091103791692
3306.4256027306533,-64.03989701738465
3400.3564817400347,-67.04699574308052
3495.283897789856,-70.08594468156207
3590.238491840693,-73.12577952963875
3685.192801840849,-76.16566873518514
3760.677180279088,-78.5822870861457
3760.7770540793354,-78.58548444071766
3760.8769278195778,-78.58606536945808
3779.0880801902167,-78.69199275772189
3872.960020459492,-79.23800921605562
3967.835021154233,-79.78985376810579
3985.087472183018,-79.89020253521267
3985.1873601953566,-79.89078353459172
3985.2872483134274,-79.89287613263787
4061.7538418489544,-81.49484669524736
4102.214631089097,-82.34252176147675
4102.314574903905,-82.34461564477897
4102.414518707268,-82.34622590925937
4156.699626159288,-83.22083795292565
4251.640700534052,-84.75081651222445
4345.557316367459,-86.26464830962504
4439.457122125753,-87.77809560385958
4534.374449850272,-89.30779779019122
4628.343255980796,-90.82220511578089
4683.547511713189,-91.71189410115403
4683.64750032348,-91.71350555392473
4683.747488941152,-91.71493830129384
4723.331270408438,-92.28213961315669
4818.322523647148,-93.64328079111328
4902.848696715177,-94.85438888623321
4902.948696388526,-94.85582161399452
4903.048696064855,-94.85928805051753
4913.319473698921,-95.21531929791581
5007.319247940369,-98.47377755188973
5074.164777819217,-100.79094502828684
5074.26477652703,-100.79441142857922
5074.364775229582,-100.79656035780317
5102.318285467146,-101.39727352298723
5196.316882391195,-103.41727136000009
5219.393289316878,-103.91316885044216
5219.49328852128,-103.91531776305237
5219.593287719333,-103.91683535447282
5291.312129127727,-105.00524471519202
5385.2988654636265,-106.43159186379671
5480.284714673572,-107.87311034175582
5574.26286586279,-109.29934474523816
5669.243327679254,-110.74078683828975
5763.236233136258,-112.16722808532904
5858.2146370970495,-113.60860669752401
5952.197595905246,-115.03488635757185
6046.189591222231,-116.46131466626684
6140.18205766728,-117.88774893408026
6235.173463824194,-119.32934340050451
6330.16736286498,-120.77097361302367
6425.16229158362,-122.21261889037942
6519.155208789068,-123.63905817311206
6614.147831597504,-125.08066981983848
6640.283065192086,-125.47729934161816
6640.383058587824,-125.47881684538788
6640.4830519873185,-125.48163438363463
6708.142121272841,-127.38808860949302
6802.140631651066,-130.0367200764549
6896.139964300524,-132.6853679120377
6966.602438249473,-134.67081746951317
6966.70243693645,-134.67363517913054
6966.802435623154,-134.6763365821198
6991.138699644196,-135.3337664664714
7085.1373331141685,-137.87308847721943
7180.136240123804,-140.43941669897868
7225.302279320809,-141.6595350700063
7225.40226669328,-141.66223613092552
7225.502254034436,-141.66137495094245
7273.122802182019,-141.25122433568413
7368.079967289386,-140.43336822636593
7449.547851781319,-139.7316946900719
7449.647780329157,-139.73083401818712
7449.747708856416,-139.73004117250548
7463.017423995939,-139.62475696234014
7511.771497992805,-139.23793379288873
7511.871423777459,-139.23714096922413
7511.971349562144,-139.2348101701955
7650.877396337846,-135.9947957044942
7745.857140062639,-133.779392183671
7754.717020214759,-133.57273681190418
7754.817012171461,-133.57040451733064
7754.917004087559,-133.57500260676625
7838.825251272422,-137.43365015495237
7933.745263689353,-141.79864161480145
8028.626993110921,-146.16162268660537
8123.489670777575,-150.52369620098762
8217.346221537155,-154.83954232654105
8312.145495601075,-159.1987381320605
8367.681543997134,-161.7524687595469
8367.781364063143,-161.75705885292246
8367.881184252601,-161.76120137810994
8406.963118869253,-163.3831058479036
8501.854127991743,-167.32110574644958
8595.775096004902,-171.21885788455256
8612.829396403382,-171.9266206674538
8612.929325385518,-171.93076777585884
8613.02925438026,-171.93077001202892
8690.711161482484,-171.9325083471822
8785.677425428552,-171.9346334461161
8880.67026165268,-171.93675911450828
8974.667112700206,-171.93886250777086
9068.662985131241,-171.94096589739274
9163.658231003277,-171.94309164375318
9257.65519014818,-171.94519503611446
9282.701629140774,-171.94575550371246
9282.801627183997,-171.94575774137957
9282.901625221188,-171.94558478937597
9352.651437871835,-171.82494916946143
9446.644153946338,-171.66238161942056
9541.639322790443,-171.4980793715522
9636.636045871279,-171.3337743837119
9731.633194069487,-171.16946783271032
9737.140225336256,-171.15994299979502
9737.240224574463,-171.1597700434877
9737.340223816715,-171.16102702523222
9826.631842257104,-172.2834127993192
9918.634025361294,-173.4398688898882
9918.73401557606,-173.44112575558574
9918.834005784181,-173.44074266212192
9920.625160366792,-173.4338801937447
10015.615748641152,-173.06994009996015
10109.605791028405,-172.70983219589198
10204.602113061215,-172.34586968227723
10206.4762938806,-172.3386890783804
10206.576293288383,-172.33830594769915
10206.676292695342,-172.33787955908338
10299.600898170946,-171.9416555265243
10393.584961409933,-171.54090687464122
10455.307794298295,-171.2777151156779
10455.407751461673,-171.27728888658567
10455.507708620094,-171.27927088565775
10487.54533197889,-171.9145312808505
10582.50571323986,-173.7974222820094
10619.25059324004,-174.52598867050438
10619.350560373698,-174.5279707898626
10619.450527524381,-174.5289436299954
10675.476497842878,-175.07416621880293
10770.467016306498,-175.99857444718236
10865.465184765832,-176.92305610257426
10926.668750446463,-177.51866772029916
10926.768746316659,-177.51964085096006
10926.86874218271,-177.52205119392784
10959.461751712011,-178.30768908619393
11053.45946783057,-180.5734150534454
11080.459358080358,-181.22420830970532
