VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
29.66278480387794,-1.1328291250119946
29.76082019566637,-1.136572329000046
29.858860868063616,-1.1402470505436213
45.86161237325993,-1.7401021106979897
92.62498764685321,-3.4937024092378124
186.5795065073547,-7.0179468937676575
280.5457931394707,-10.54284508280034
375.5099588272677,-14.105297843459994
420.86637130417205,-15.806682769296458
420.9662926959661,-15.810430971770984
421.06621392014233,-15.813101328396442
469.4248076620636,-17.10546726231587
563.3007407697809,-19.613940300365357
583.6678374741907,-20.158085732224208
583.7677548304351,-20.16075513661235
583.8676722281967,-20.164690225163213
658.2194700228988,-23.09414020119948
752.1220158025782,-26.79539675331216
815.8678571649679,-29.306318164632103
815.9678150682305,-29.310252859902903
816.067772927376,-29.313783260708078
847.0677795707553,-30.4090287599156
940.9581128573299,-33.72852473002422
1034.7280715575118,-37.04647194965219
1129.5335912118412,-40.39944806423591
1181.71507037323,-42.24319118191488
1181.814959764952,-42.24672052790447
1181.9148491810276,-42.251066938179065
1223.4282923520836,-44.057410033785345
1317.3489412951403,-48.144120889113765
1412.2827684021697,-52.27498171837942
1506.211662729384,-56.362143033413304
1600.145818541138,-60.44949915466714
1682.3382408613147,-64.02586559046358
1682.4381153181566,-64.03021126208841
1682.5379896388,-64.0341528963163
1695.05711115348,-64.52823647711193
1788.9347053295787,-68.2330550803963
1883.8090810742788,-71.97703505645222
1977.7046902050483,-75.68238797686718
2071.61798898746,-79.38827350683096
2165.8471039341625,-83.10663896166807
2165.9470364192744,-83.11058253215924
2166.0469689147085,-83.11565360245186
2166.5430866078545,-83.14082905275609
2260.490295094306,-87.90912710997873
2285.074171929492,-89.15719789865216
2285.1741006708485,-89.16227132575114
2285.2740293557476,-89.16232471912372
2355.40270316116,-89.19981287725386
2375.9557289821355,-89.21080363176043
2376.0556083802217,-89.21085703647623
2376.1554878725296,-89.21018040622039
2449.306137059071,-88.71479707065555
2482.4752623031395,-88.49016146842041
2482.5751246723653,-88.48948488708447
2482.6749867821472,-88.49165459805954
2543.1226615396627,-89.80623968012515
2637.930851706324,-91.8673250884749
2702.828252410799,-93.27504408018285
2702.9282048164946,-93.27721021437537
2703.0281570825678,-93.27924837126739
2731.8840716813925,-93.86771898981169
2821.9416755319958,-95.7044669959796
2822.041580084709,-95.70650454878341
2822.1414846525563,-95.70789706594041
2826.7870638267236,-95.7726492961483
2920.6998809388037,-97.08171597467481
2953.8272794264353,-97.54343728813728
2953.9272275200233,-97.54483012496348
2954.0271756668076,-97.54336289827734
2990.245717696505,-97.01161330055584
2990.3456586599264,-97.01014581623349
2990.4455995302856,-97.0146739800839
3015.6396145927297,-98.15646184947218
3059.1741764647145,-100.12968209050814
3059.2740952960116,-100.1342103711213
3059.374014150129,-100.13697606874666
3109.5624345989477,-101.52592481379543
3203.386562669201,-104.12424772363192
3207.7273760234357,-104.24455491758818
3207.827059863043,-104.24731750170758
3207.926744154926,-104.2508107986996
3298.189423998548,-107.41398881556415
3392.019945512981,-110.70225611857131
3427.9547563734536,-111.96158652655868
3428.05457824173,-111.96508477302268
3428.1544001237935,-111.96840216891906
3486.8513650286964,-113.91930323923225
3517.642654578855,-114.9429429350148
3517.7424517606937,-114.94626103426708
3517.842248838861,-114.94881767174775
3580.642291053789,-116.55829151070611
3641.3143337862834,-118.1139226381747
3641.414024041594,-118.11647882343641
3641.51371424652,-118.11852378558433
3675.354253773884,-118.81270788009897
3769.2088839053627,-120.73677216762371
3825.4130298038194,-121.88805905475238
3825.5129413855293,-121.89010530963606
3825.6128528907284,-121.89202944285535
3863.129112363821,-122.61444278974705
3958.085738867236,-124.44373785582684
4052.01916753149,-126.25475780005218
4146.879886539627,-128.084067733731
4240.7103317927495,-129.89371350105102
4327.662825542443,-131.57029186145155
4327.762748663893,-131.57221782992565
4327.862671869812,-131.57649878024313
4334.589998725661,-131.86471542091203
4428.531436608756,-135.8895046288908
4523.480429009828,-139.95757913321722
4617.434844514887,-143.9832358255244
4712.390312040635,-148.0519008383235
4806.347606185486,-152.07789758343642
4813.009308393631,-152.363355926007
4813.109258791652,-152.36763887570123
4813.209209170058,-152.37123923540275
4900.291107500933,-155.50863466777992
4995.209017049777,-158.9291401597602
5089.137846388955,-162.31321646340984
5109.158215863703,-163.0342696366988
5109.258163079249,-163.03786913147633
5109.358110317987,-163.04012857940688
5150.106725912356,-163.96126539452416
5202.0828632384955,-165.13614962879547
