VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
28.463283385865964,-0.47705421322825714
57.369042047673815,-0.9605141714491765
70.43469010675733,-1.1786138547649898
70.52576783588688,-1.1801330250746105
70.6168468916432,-1.1819902760926198
85.60745384901094,-1.4874293585398846
107.53691641879891,-1.9337411059204896
148.0110456921568,-2.7572769360776874
235.45194775193784,-4.521693842809327
277.87883709446226,-5.366036689838438
277.97356323354313,-5.367911603489119
278.0682914458341,-5.369513453841137
325.4695186231263,-6.168047042834587
416.1698021412826,-7.679578832015977
508.2655520939853,-9.19014390452503
550.4821379540208,-9.874453013002494
550.5810964524322,-9.876052338951922
550.6800557421784,-9.877691265764952
601.3056738243906,-10.714623117881274
605.456513033073,-10.78310834923468
605.555864379523,-10.784747256740957
605.655216487776,-10.785801074920528
694.9389422524767,-11.73154142626845
761.4656794073909,-12.434330175783543
761.5656362771696,-12.435384697784684
761.6655929162592,-12.435993874103588
788.8727662257874,-12.601913382950443
883.7419413399524,-13.18072779630711
977.6166856091,-13.753401659458177
990.8877927215693,-13.834366003202376
990.9876579356882,-13.834975263664091
991.0875232085128,-13.837726710176867
1048.0214888643309,-15.406381222748678
1048.1213521250565,-15.409132731485442
1048.2212153200708,-15.409782539909429
1071.4894810265891,-15.56119010061957
1165.339703746586,-16.17176344136351
1259.1941469942567,-16.78228399429463
1354.0324487833527,-17.399557743732657
1447.8411160337391,-18.010287873245034
1540.7285443926844,-18.61458971922184
1615.7352096324107,-19.10218347234695
1615.8351798908202,-19.10283313938271
1615.9351501866809,-19.102563563868898
1634.6860303922167,-19.052001399808432
1728.6683954789992,-18.798597993334624
1823.6498172623928,-18.54251674614534
1918.639397423091,-18.28640803158487
1935.7129770273896,-18.240374151320793
1935.812973241901,-18.240104540445827
1935.9129694683265,-18.24042384562381
2012.6311620600663,-18.48539858834374
2106.604234662235,-18.78547124484612
2200.5868610663074,-19.08557014843609
2243.93583015515,-19.22398645312387
2244.035798931003,-19.224305658433877
2244.1357676248363,-19.224312419550188
2294.5472854866016,-19.227722222716693
2388.45496781662,-19.234074850603065
2483.4123006010714,-19.24049610997281
2576.214134775386,-19.246768883473123
2576.3141260678276,-19.246775641890054
2576.414117340847,-19.247166932902473
2577.4011286282935,-19.251029360395478
2670.356539842873,-19.61494240148204
2765.252492897593,-19.98659688913358
2830.751132340693,-20.243062084382473
2830.851067055985,-20.243453314767976
2830.951001834924,-20.244583853946096
2859.17808686806,-20.563885155163007
2954.1290376696975,-21.638155513743186
3016.930341272489,-22.348936117372432
3017.0302497597495,-22.350066975704976
3017.130158207016,-22.351026274773176
3049.047449422366,-22.657508181759113
3142.9104423668314,-23.55918747370015
3237.732025108383,-24.47034621493549
3330.618889373703,-25.362426900073842
3424.5812807238717,-26.264019453736182
3490.4389687421603,-26.8957120328796
3490.538942684341,-26.896671011199942
3490.6389166164877,-26.896670066702427
3519.5581749941507,-26.896396847118012
3613.509887343419,-26.895508778543444
3708.404281479538,-26.894611130472185
3802.2488162834984,-26.89372297317641
3896.079559745833,-26.89283484081352
3990.95472858893,-26.89193719807372
4038.2650515603896,-26.89148979490892
4038.364982336327,-26.89148885004579
4038.464913168004,-26.891132871824084
4084.887940938898,-26.72577250453105
4178.870948503681,-26.391099651731565
4272.869410966141,-26.05643606146623
4366.844898617746,-25.721766562408447
4460.815140569974,-25.387120225652325
4484.489401527826,-25.302829842756182
4484.58938441523,-25.302473854751952
4484.68936728927,-25.30034145812715
4555.795255476023,-23.783827406734417
4650.787865188573,-21.757845571501093
4730.295739763624,-20.062090730169075
4730.395725003055,-20.059958227131574
4730.495710237666,-20.059063638607768
4744.774929703467,-19.931303477846086
4838.744806637211,-19.090421965265705
4920.050622941854,-18.362757296801647
4920.150555612314,-18.361862902474968
4920.250488265284,-18.359694511662383
4933.686221059518,-18.068157679012074
5027.65331460804,-16.029502058961953
5031.585009681084,-15.944214958857629
5031.68497701943,-15.942046440872218
5031.784944310049,-15.940852508536409
5122.597280883489,-14.856181903103788
5216.550298479127,-13.733859515588847
5296.43721736561,-12.779542021289672
5296.5371854360765,-12.778347851222861
5296.637153516038,-12.779021528966041
5310.51632541195,-12.872551726830352
5366.260740167022,-13.24825058665192
5366.360678986346,-13.248924223111317
5366.460617735532,-13.250282746861558
5404.462502417954,-13.766918577244724
5425.312565040789,-14.05036841090805
5425.412510866864,-14.051726964433328
5425.512456838515,-14.050509961240095
5469.412715412188,-13.516052765560744
5469.512692911686,-13.514835830066659
5469.612670408798,-13.514817956038314
5499.424615509257,-13.509488258476267
5593.392749704036,-13.492689495898958
5622.112021557439,-13.487555320472893
5622.212008614232,-13.487537445338603
5622.311995695861,-13.487559641085682
5688.370761273442,-13.502223076102382
5782.355017987673,-13.523085862831067
5877.35083996147,-13.544174197650136
5971.289288681667,-13.565030074576498
5989.724609192771,-13.56912364480013
5989.8243495041215,-13.569145792542258
5989.9240894873,-13.569187328383123
6065.935448461424,-13.600886412003092
6159.522576887981,-13.63992663825411
6253.311470031459,-13.678966070476235
6277.380783730326,-13.688976851915868
6277.480604014645,-13.689018379196568
6277.5804241572005,-13.689276104954843
6348.102881632252,-13.871455110920579
6441.843594145014,-14.113688484754675
6535.702876884614,-14.355909963667727
6629.599221580707,-14.598130827876957
6668.793919448299,-14.699235107935237
6668.893872037949,-14.699492748153716
6668.993824831558,-14.700659668655135
6724.541488432881,-15.349008769242573
6812.4826060292635,-16.375463686104922
6812.582553522487,-16.376630570272027
6812.682500876325,-16.372945814620834
6817.51186644333,-16.194895048216495
6912.445296002798,-12.694650922874644
6927.627702901413,-12.134844331185377
6927.727602916575,-12.131160736382299
6927.827502841901,-12.131142878231913
7006.3191062484275,-12.117110239587419
7099.151838067609,-12.100514643658244
7193.974298189565,-12.08356859493324
7217.134261315022,-12.079430752557528
7217.23409654585,-12.079412917939408
7217.33393194211,-12.073530160017981
7288.846794458041,-7.859620992689088
7343.19679644091,-4.656990289970054
7343.296759494886,-4.651099839060407
7343.396722598954,-4.642733872251483
7382.80390331902,-1.3445360700807214
7391.973329122462,-0.5770419356431375
7392.073301294701,-0.56867398986833
7392.173273450171,-0.5706181383193325
7476.757904913387,-2.215992451800048
7570.666685008642,-4.043409601119492
7585.5147471159535,-4.332357868228428
7585.614649599063,-4.334301929044159
7585.714552119905,-4.335321241673228
7665.582834128051,-5.150227355306924
7759.55901210001,-6.109097929333075
7853.552719573496,-7.06815644280141
7948.542170395192,-8.03738321012861
8043.527671967728,-9.006576699637662
8137.503374424241,-9.9654707308855
8151.475361709441,-10.10803735445188
8151.575313163117,-10.109057232933992
8151.675264656369,-10.109613941755015
8232.466690847215,-10.559609391100821
8326.445880560012,-11.083064237393046
8420.43444825327,-11.606576781092372
8514.428297336011,-12.130128083519594
8609.42126823344,-12.659254473759574
8703.39328514465,-13.182707519463293
8797.357627770767,-13.706120984286827
8891.348861584589,-14.229670859715043
8985.341540117368,-14.7532286243204
9079.327908485191,-15.27675401106535
9173.32419838814,-15.800321758439168
9268.315437054793,-16.329420259533435
9273.45331520189,-16.3580379156283
