VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
65.56099072665313,-1.4836222129833914
65.6598544387,-1.4858594640936644
65.75871944292416,-1.4890954693091771
93.63299069161559,-2.401463681118912
187.2577106757481,-5.465750479592316
281.21082413970754,-8.540352623633225
376.12791064068557,-11.646114885706993
469.9856557335094,-14.717104308103444
564.8341904193501,-17.820554877540417
658.666725897363,-20.890659984483136
753.5232153766563,-23.994250696947347
847.4327574803021,-27.066977366463107
941.377408465396,-30.141090460296255
1036.304148974081,-33.24758872471648
1130.2061251335983,-36.320653153406965
1224.0780984285823,-39.39287997379324
1318.0234977478676,-42.46738241644198
1412.820081113847,-45.56998090582965
1506.611353661386,-48.63967657641115
1584.8117830169167,-51.198743789977016
1584.91177565887,-51.20201601073677
1585.0117682994912,-51.19939190250989
1600.604691456865,-50.79018398687003
1695.5852484792285,-48.29724136356526
1759.881512037365,-46.60888453355983
1759.9813285998434,-46.606262585399236
1760.0811448469362,-46.61253376810964
1789.4510563678118,-48.457263287671594
1883.3353375164647,-54.362140507173535
1977.2035395244645,-60.27964585580958
2070.8527465342554,-66.19189963353165
2164.330921730714,-72.10050647717617
2168.2971920309233,-72.351300822751
2168.3965648983058,-72.35758382388303
2168.4959389790615,-72.360042464672
2249.973943305531,-74.3702183037858
2250.0739062607067,-74.37267758529197
2250.1738694413507,-74.37552844016136
2258.0854683449106,-74.60119655836752
2353.028587302377,-77.31268297717907
2446.804786178278,-79.99457043292568
2541.5482305327573,-82.70534620529179
2635.3459222026077,-85.38943573435245
2730.158171046459,-88.10227431515705
2823.9188102495573,-90.78549022218795
2917.830481520561,-93.46985111296817
2996.978425914246,-95.72930053573327
2997.0784100921073,-95.73215529735899
2997.178394285394,-95.73260513620335
3012.808778068905,-95.80292939177343
3106.796016877507,-96.22586472983312
3200.7731676111166,-96.64887104330046
3295.6607272369324,-97.07622017171889
3389.5446796896713,-97.49899110905244
3411.3148309637963,-97.59696292578155
3411.4148074336526,-97.59741282194409
3411.514783946719,-97.59849116861915
3484.5293112058125,-98.3860336457783
3578.5104286842006,-99.39974582620926
3673.470266667337,-100.42401601526035
3767.4342913561477,-101.43752372436029
3848.9565298279927,-102.31681730993478
3849.0564470959716,-102.31789500346713
3849.156364284921,-102.32306738018269
3861.378701637933,-102.95578355857833
3956.2629597985497,-107.86784546757008
4050.205813285224,-112.73001789965201
4070.7051081966297,-113.79073644586788
4070.805093636481,-113.79591020137741
4070.9050790756087,-113.79510038226726
4144.190238926614,-113.20156748180307
4238.174503851436,-112.44033190135633
4257.426631990037,-112.2843720398323
4257.526585838424,-112.28356229868587
4257.626539591492,-112.28199778812996
4333.095998722591,-111.10028795867765
4426.947409099701,-109.63020943234005
4521.879431010404,-108.14412318762334
4615.849641239076,-106.67363832047886
4665.848477273844,-105.8911060637638
4665.94843498469,-105.88954175214167
4666.048392726619,-105.89010049418357
4710.808291491728,-106.14028300659629
4804.751847494578,-106.66553565761205
4898.613819103139,-107.1906508979082
4992.515108359666,-107.71558445972732
5046.4452225202485,-108.01676610463619
