VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09563029126539391,-0.00842269508575555
0.191263190809849,-0.010280994027198176
84.62838054045673,-1.650840126147159
178.2764099353287,-3.4706431986760435
246.83957352502372,-4.803662266873289
246.9391615228868,-4.805598948400075
247.0387497672165,-4.808443126566999
272.81518243208825,-5.544703137524266
367.62184538310885,-8.250659127070321
371.518368997164,-8.361774242936008
371.61828033900656,-8.364623356792436
371.71819170427545,-8.369607221089609
461.54779497152424,-12.850515623111278
556.4853832022437,-17.58611263745297
589.4249523990297,-19.229137285450633
589.5248862144009,-19.234121922667327
589.624820019311,-19.235008082940112
650.4214960617459,-19.774124833544192
745.3384757096148,-20.615829683611082
771.9447781861828,-20.85177544072576
772.0446633731207,-20.85266123051224
772.1445485196632,-20.85962770844162
836.9570024875544,-25.380223345382547
837.0568586227824,-25.387188596805572
837.156714709021,-25.390030463104267
840.2206836123984,-25.477230227084874
934.0770731062006,-28.148769106357577
944.7000949309521,-28.45119015598175
944.7999247294248,-28.45403216554041
944.8997544523633,-28.459450589545668
1028.8868809274513,-33.01810528162241
1088.4631727236033,-36.250418484452894
1088.5630433723995,-36.25583453602303
1088.6629141076965,-36.260696089233534
1123.7394962436558,-37.968459811740104
1217.5967897142766,-42.5389057225002
1304.0777162425866,-46.750055768485254
1304.1775834916011,-46.754918572265524
1304.2774507970844,-46.75753437050844
1312.4481916836148,-46.971546639613734
1406.2274168745093,-49.429945574474914
1467.1306091180145,-51.027146205664394
1467.230477662466,-51.02976408232644
1467.3303465049335,-51.02965803315237
1501.0489674409243,-50.99385509801141
1596.0235278884004,-50.89303218311761
1620.0888954434115,-50.86748831328441
1620.188871175556,-50.867382192709556
1620.2888468805786,-50.87265863280845
1689.991116191276,-54.551505838788216
1710.3811399886035,-55.62773743469006
1710.4810709072667,-55.633012074480575
1710.5810017711735,-55.6335724992241
1784.9086056434694,-56.050483857985455
1824.0726782249646,-56.270223137364155
1824.1726015324612,-56.270783845873666
1824.272524835459,-56.27384304472071
1879.8120766774982,-57.974601130852534
1974.5971827479043,-60.87781757589619
2068.496641630309,-63.751538767561215
2100.1984485325725,-64.72081097582668
2100.2984476523493,-64.7238679723614
2100.3984467603173,-64.72846423314513
2163.489146695699,-67.62861712144513
2173.653269487813,-68.09588748751048
2173.753237143587,-68.10048320841997
2173.8532047562935,-68.09978273293018
2204.0820987345337,-67.88797577503647
2204.1820445547796,-67.88727550274962
2204.281990274322,-67.88861606519458
2258.423961180853,-68.61481403140169
2352.359247530851,-69.87473240894906
2354.250826663506,-69.90010312161212
2354.350798562086,-69.90144398961274
2354.4507704553666,-69.9006154732524
2447.3269834876855,-69.13080510357213
2542.290747444604,-68.34368995129626
2573.492253584662,-68.08511364407241
2573.592213293248,-68.08428527120304
2573.692172991307,-68.08971990667669
2624.116268885538,-70.83112543063908
2624.2162212254248,-70.83655940778408
2624.316173546762,-70.84014043380557
2636.250587683207,-71.26771701671532
2643.8597170739304,-71.54032957951495
2643.9596750766054,-71.54391077742548
2644.0596331789457,-71.54004418810291
2731.234558537285,-68.16793026289088
2826.2326763927044,-64.4930930757564
2920.2219174650945,-60.85716953102565
3015.215464614143,-57.182523189865606
3015.2429766632663,-57.18145897931754
3015.342955473045,-57.177591637280784
3015.442934265298,-57.17461190764152
3110.1861776845913,-54.3508375458041
3123.250074999553,-53.96146320403204
3123.350035106477,-53.95848385518002
3123.4499952262845,-53.95670230930409
3205.152226029037,-52.50055752784101
3299.13346787585,-50.8255711060192
3394.113167026908,-49.132700471198405
3488.0968303498535,-47.45762588756406
3583.089587891883,-45.764784488981604
3678.083512083252,-44.071971416607994
3734.3292292305073,-43.06974902483307
3734.4291706050035,-43.06796839799608
3734.5291117216593,-43.065935085893216
3773.0268236081774,-42.282533804920604
3867.8491629320283,-40.35229858882485
3961.6951282521773,-38.44162007158957
4056.5194435014514,-36.510510564476135
4151.395191736174,-34.57812910828943
4175.87171167115,-34.07961617300862
4175.971607283429,-34.077581402134456
4176.071502767494,-34.07916477567596
4245.2602922180495,-35.17629466358812
4340.101076244188,-36.68027383235858
4370.73311494724,-37.16585709106403
4370.83300136669,-37.16744050894886
4370.9328877871785,-37.17055574659025
4434.9931950204145,-39.16846458380314
4529.920298149434,-42.127704915084905
4561.1327830364535,-43.100252718522825
4561.232730096607,-43.1033668988166
4561.332677178149,-43.114459869302664
4624.873073819034,-50.16655232921221
4693.830994061148,-57.81962621357525
4693.930787115297,-57.83070125521226
4694.030579803647,-57.835079059417694
4718.733730775807,-58.91878274926967
4813.407329119568,-63.07195286630122
4908.071327086082,-67.2250165030473
5002.680452862799,-71.37623807262571
5092.740267630758,-75.32805071746952
5092.840047488656,-75.3324290855362
5092.939827557954,-75.33960572204523
5096.367326996799,-75.58612775702022
5191.18819442704,-82.40718746107632
5237.229921257532,-85.71852234250946
5237.3297392826535,-85.72569855419533
5237.42955720517,-85.73191573100121
5285.004907743901,-88.69509397757247
5375.300303567538,-94.31888124064244
5375.3998888191445,-94.32508356809376
5375.499473888317,-94.3338023549968
5379.679826863093,-94.69979820465232
5474.244311238436,-102.97970144915234
5530.29208527936,-107.88769485313242
5530.391506059318,-107.89640125140431
5530.490926685862,-107.90839555608
5567.712494829234,-112.3991192583926
5661.986747493476,-123.77624902910975
5704.60073949892,-128.92023540291666
5764.067536385216,-136.09839556274528
