VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
93.48822945981377,-0.18031017199791677
121.97212232631922,-0.23521827231161296
122.07183997307573,-0.2354104905789427
122.17155808671542,-0.23780424033066083
166.9796046670366,-1.3135018917546404
167.0794835307976,-1.315899825998713
167.1793626421143,-1.3162444810132001
188.2781232242368,-1.3890568027909467
282.013644531985,-1.713259317988559
368.28475960446815,-2.012063991114701
368.3844984448905,-2.0124091885099915
368.48423751008033,-2.0194655151917686
376.65199190351547,-2.597278221301167
470.4408316015147,-9.230574064864413
505.6914660684247,-11.72179724579837
505.79135463049295,-11.7288523905263
505.8912434291191,-11.7323533378094
565.350741079237,-13.815668901974277
659.3320903245819,-17.107565362730384
713.1427402471261,-18.99248616652403
713.2426961157091,-18.99598761918969
713.34265193323,-19.001099181254176
754.2920038713464,-21.095194800369427
848.2740852425096,-25.900787805760046
863.7595220248527,-26.692498178037567
863.8595019412294,-26.69760967336515
863.9594817697366,-26.700771322595756
943.2105342075821,-29.20734347326652
1037.0521146142687,-32.17620769883797
1131.9290958596187,-35.17755173466139
1226.8611228515579,-38.17933024742524
1320.7912083903238,-41.148555601395856
1415.7454627013435,-44.150162764071865
1509.7102549825743,-47.12036500521026
1539.1422181474609,-48.05056759897161
1539.2420855425148,-48.05372379065193
1539.341952574153,-48.05845066980146
1604.4947655144117,-51.14309759905882
1617.8267262380396,-51.774468319306834
1617.9262450427386,-51.77918127686644
1618.0257638799662,-51.78298897021341
1698.052591035288,-54.844829102157746
1783.1235675905455,-58.0972926030463
1783.2235445524195,-58.101112270434896
1783.323521645072,-58.10658669878285
1792.892351881364,-58.63054065964752
1886.883910134409,-63.77732865993494
1980.8770318929508,-68.92437067168612
2026.5879372727522,-71.42737281059635
2026.6879183492713,-71.4328472772977
2026.7878993478698,-71.4370680310094
2075.8486495358634,-73.50900738065866
2169.772644352559,-77.47718066016205
2247.6447596148178,-80.76569930801634
2247.744715109373,-80.7699184856574
2247.844670587332,-80.77250949125846
2264.7210597042413,-81.20995358729851
2358.610192471806,-83.6429612850443
2453.478737372588,-86.10198959080117
2547.314699202796,-88.5355049121863
2552.387164858714,-88.6670563778589
2552.4869672881096,-88.66964468188235
2552.5867697458057,-88.676837664696
2642.1342949761247,-95.12905299725753
2694.7337972317814,-98.91828064171386
2694.8336093642047,-98.92547146565084
2694.9334214913943,-98.92933398230161
2735.957801690331,-100.51693915312717
2830.7717123761417,-104.1877618092658
2925.6496805183015,-107.85904845435834
3019.5386807884774,-111.4885276865516
3099.2673732052976,-114.57191829190924
3099.367322934521,-114.57578540903887
3099.46727258764,-114.58041460518143
3114.4870988198154,-115.276116905452
3208.4208581675703,-119.62670336202245
3303.3241627280086,-124.0210797960226
3331.5280247532755,-125.32714039106213
3331.627934146188,-125.33176786375043
3331.7278435376766,-125.33113686272918
3397.2059390588174,-124.91719194821962
3492.0670116178585,-124.31736103445473
3494.7801980392906,-124.30021792057414
3494.8801131725445,-124.29958661697492
3494.980028279047,-124.30168140410751
3586.9543359848954,-126.22981652656563
3680.8054647517342,-128.19703425495754
3775.727303828143,-130.1865828003356
3864.7114458885594,-132.05059481894023
3864.811323246305,-132.05268582133067
3864.9112002947086,-132.05648629824827
3869.677169223961,-132.2378552812097
3964.5959908166483,-135.8493548104525
4058.31078034252,-139.41871502812683
4152.648111346148,-143.01575297264753
4163.7946819969375,-143.44062885087988
4163.894053642209,-143.44441613765957
4163.993425659862,-143.4471400919465
4246.165985756247,-145.69811433821815
4328.311742161943,-147.9466414664803
4328.411557921407,-147.94937341521836
4328.511373872806,-147.9491299506426
4340.916861685877,-147.91887149795366
4432.772621574568,-147.6948656848781
4432.872573619697,-147.6946219781421
4432.972525748171,-147.69994480358218
4434.82538824964,-147.7986165376842
4501.122979691355,-151.32914984297895
4501.222966933429,-151.33447436606184
4501.322954210223,-151.3374471332845
4529.804534433094,-152.18422788007047
4623.7068357214785,-154.97749686284442
4662.335285810436,-156.1268626078836
4662.435100288354,-156.1298316702705
4662.53491492182,-156.13197122165184
4718.529283235115,-157.33251510247828
4812.340041629436,-159.34420457672968
4907.18316768523,-161.37854308864917
4961.842787111402,-162.55130006160834
4961.942710019799,-162.55344389634047
4962.042632973314,-162.55872141751388
5001.097973089011,-164.6213574174908
5096.025475980352,-169.6343371541734
5190.965946890646,-174.64718209280363
5284.935279435897,-179.60784995024915
5289.315135992607,-179.83904385398273
5289.415098388374,-179.84432026933064
5289.515060782765,-179.84677304825345
5340.846861947383,-181.1062033953349
5340.94676247127,-181.10865427104363
5341.046662756066,-181.10949588870608
5379.842002190285,-181.436387772108
5401.026240380575,-181.6149100993989
5401.126073339826,-181.61575136338251
5401.225906561181,-181.6167900222299
5474.733931000259,-182.3815076942701
5568.692860821282,-183.3589314627061
5622.645853534942,-183.9202020749981
5678.57778809419,-184.50206233025892
