VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
70.19617079174236,-4.4254961965853
70.29531762594627,-4.431750825162453
70.39446608807714,-4.432337782842296
92.49139270262856,-4.563233279561246
186.9247606303254,-5.122991183900012
246.41501771917035,-5.475936184053353
246.51421890629,-5.476525236172165
246.61341968927877,-5.480878142794609
280.21847783629073,-6.9562792105316475
345.55153184299684,-9.821831545061286
345.6507321750307,-9.826175813670488
345.7499326244216,-9.833338797745455
374.4225519081393,-11.902603805609033
444.7385047876422,-16.974578099885548
444.8376338169512,-16.9817284836372
444.93676270838944,-16.984998546377028
467.6336134032242,-17.733724471081587
562.0939779798633,-20.84612193720932
655.7577540089429,-23.932634720607894
750.4532322028116,-27.053290468749765
766.6807720718745,-27.587122348313642
766.7806394335331,-27.590405948345506
766.8805071635735,-27.593712469717502
844.3793201729121,-30.160796343374386
939.2946204398735,-33.30679320625495
989.1347650292163,-34.958952165805385
989.2346852834615,-34.96226422253494
989.3346056259842,-34.96295250842195
1033.2155023307369,-35.265169547601545
1127.1178017073917,-35.91219458348496
1177.9532712255477,-36.26273161337849
1178.0529443238133,-36.263418989545244
1178.1526170439479,-36.26755718563618
1221.8074597113123,-38.080213840776196
1293.741974071901,-41.06366595077452
1293.84187478368,-41.06780405589416
1293.9417757921296,-41.069245850025254
1315.5912616640953,-41.38177359711517
1409.5197494354702,-42.73869239581654
1504.428297626765,-44.1102131773132
1576.4983736555664,-45.15219944694945
1576.5981164848286,-45.153642450257394
1576.6978589367668,-45.15636924080536
1598.2525972866765,-45.7459668393094
1692.948748556354,-48.33669865786942
1786.5687175042654,-50.90040326592498
1860.2302106661268,-52.91997095570514
1860.3297032187825,-52.92269838707216
1860.4291958103727,-52.92330855943692
1881.0767318946523,-53.0499312925549
1972.8168222038007,-53.61284547262221
1972.9161997023352,-53.613455612434336
1973.0155770552642,-53.616757637915725
1974.5501245851287,-53.6677466637193
2069.083029434168,-56.80577033880763
2163.851506630613,-59.941489992464994
2169.2173276452327,-60.11863549955706
2169.3171243884,-60.1219301214951
2169.416921139427,-60.1235615591504
2257.6631382932073,-61.56604036940735
2352.4744502793196,-63.116525949981224
2446.265865823599,-64.651605183024
2462.199468795096,-64.91248848856776
2462.299207437181,-64.91412167328235
2462.398945916739,-64.91673375693972
2540.9618307719716,-66.97577823752363
2634.60865841026,-69.43106554218502
2729.367352660322,-71.91233010537144
2823.2087537379916,-74.36664310738342
2831.401899718711,-74.58081567869158
2831.50175837922,-74.58342544591505
2831.6016171836104,-74.5871185175256
2917.046600942399,-77.74909708137602
3011.7646894971704,-81.25643496120028
3074.4191120362143,-83.57636310886664
3074.51883696745,-83.58005546211461
3074.6185619198573,-83.5825517928115
3105.5025951872162,-84.35561259293354
3200.316619049095,-86.72941342715058
3206.590741709951,-86.88652548601931
3206.690616510148,-86.88902632871395
3206.7904916197685,-86.88975553160526
3294.26602585819,-87.5287655975535
3389.232835001526,-88.22293439881469
3483.181347155502,-88.90976304955439
3527.405599482984,-89.23306629513536
3527.505557802393,-89.23379699164252
3527.605516172005,-89.23614882024413
3567.056359570183,-90.16427479608137
3567.156335419561,-90.1666266474549
3567.256311307007,-90.16769346321416
3578.142177636948,-90.28384834307508
3672.000864023327,-91.28684935566525
3672.9621737325338,-91.29713812443333
3673.061824808205,-91.29820467667014
3673.1614758780884,-91.2976627248463
3725.730631956221,-91.01176216257227
3725.8302799070693,-91.01122021451556
3725.929927852027,-91.01094422535789
3766.6667734793386,-90.89811666400237
3786.041319969239,-90.84445059872633
3786.14095264651,-90.8441746003773
3786.240585230776,-90.84835536193532
3854.1622619697723,-93.69935957893358
3854.261765682169,-93.70353753948802
3854.361269110306,-93.70437751758618
3860.27785444799,-93.75432462071694
3954.774677664081,-94.55188513113717
4048.4686284051536,-95.34114053423946
4095.323010883704,-95.73513944795741
4095.4229022726317,-95.7359793881642
4095.522793732071,-95.73833662392826
4143.3644356782615,-96.86730491768503
4237.295135381036,-99.08392600905972
4332.235354922773,-101.32458474125997
4422.001129988415,-103.44337753762375
4422.100915776166,-103.44573293556641
4422.200701364697,-103.44703336020939
4426.092581656588,-103.49775569318263
4520.789886955446,-104.7331038799075
4573.356232757079,-105.41886846262605
4573.4560009110655,-105.42016888297803
4573.555769285875,-105.41640155954519
4607.124909188835,-104.14934914055812
4607.224718852216,-104.14558347873208
4607.324528539218,-104.14893784601736
4614.53884686409,-104.39137306119846
4688.50097577814,-106.87753188958959
4688.600689983101,-106.88088488434005
4688.700404045905,-106.8836515584062
4709.300915518492,-107.45530528891504
4747.97719122119,-108.52898136231306
4748.076884743263,-108.5317496818534
4748.176578231331,-108.53542234622364
4755.663109450118,-108.81123936265067
4755.762799465402,-108.81491233826091
4755.862489423477,-108.81974554407861
4791.7159108747555,-110.5585269411331
4791.815560394835,-110.56336109096992
4791.915209748096,-110.56668126186923
4802.99880275579,-110.93609666630618
4896.171580923813,-114.08095000313733
4989.122755400078,-117.2877585893566
5079.669012581245,-120.47316621828577
5168.445935810502,-123.68409129780775
5243.899967110403,-126.47059325965347
5302.764690976056,-128.6500750860614
