VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09653748170450172,-0.003885682808686397
0.19308139160045812,-0.012137531859480077
22.306640634464145,-1.9022451161599747
25.214765319914648,-2.1508104710610496
25.312741230771962,-2.1591847045638133
25.410721105202242,-2.162582037215543
83.5530833320995,-4.178474904772884
83.652724453355,-4.181929422324174
83.75236724763715,-4.188105199700658
116.5567220394918,-6.2212631295769825
188.8965047969167,-10.704678189957122
188.99648953045605,-10.710874935304673
189.0964742692133,-10.714176260125896
211.54084814550168,-11.455249955868567
278.8066282880529,-13.676303567379364
278.9066093987833,-13.679604939052297
279.0065904979474,-13.679507208007635
306.52437028303814,-13.652607567653831
401.48123028587344,-13.559753353812994
495.4172246890272,-13.46787869082982
559.6469478220159,-13.405064357108131
559.7468849172368,-13.404966623531436
559.8468220097692,-13.403097101927415
590.3578248567713,-12.832331554405755
685.2930182914727,-11.05649636565613
714.5625653349523,-10.509059781164979
714.6624996704909,-10.507190829028332
714.7624340279717,-10.506062506165108
779.2326280056502,-9.778185853483592
842.8121878891665,-9.060407582559492
842.9121785271191,-9.059278759634253
843.012169210605,-9.061013699747491
874.2113044907665,-9.60235600699707
969.2033247472241,-11.25074384830441
1023.8448248105565,-12.198938210463893
1023.9448169998443,-12.200673231804103
1024.0448091568405,-12.20093065758374
1063.1899582731974,-12.301711862699449
1158.1430159112624,-12.546175312303603
1235.0546172524944,-12.744195263572692
1235.1545691092185,-12.744452618320793
1235.2545209546329,-12.746601913981067
1253.094058773746,-13.13023757994415
1347.0432698430952,-15.151127110213565
1392.8879616455047,-16.13750812888793
1392.9878692374748,-16.13965782077139
1393.0877767467966,-16.142869381910714
1441.950690812603,-17.713669965978625
1527.3692370583763,-20.458307973796764
1527.4691370968521,-20.46151620661658
1527.569037111066,-20.463804293867724
1536.8456721662699,-20.67626741249296
1592.9830560673397,-21.962258983057836
1593.082946439245,-21.9645478282946
1593.1828367115675,-21.96843911673568
1630.7392000042555,-23.43200914319641
1725.6394931715954,-27.129344666767793
1728.9560646895347,-27.2584745195727
1729.0560094862278,-27.26236569548746
1729.1559543645621,-27.26594611954897
1819.5768154569164,-30.50853915991138
1914.4429329182776,-33.914546997473735
2009.2684691690663,-37.320210933068665
2104.0557617453346,-40.72519009029202
2135.7610030983765,-41.864042796372814
2135.860831487794,-41.86762834237379
2135.9606600507313,-41.87138012595824
2197.9131365603025,-44.19927047038618
2212.8716212362838,-44.761258575555985
2212.97152413835,-44.765012040239526
2213.0714269889904,-44.76798778128068
2292.803681036652,-47.14332864828248
2345.496633238374,-48.712453536953035
2345.596598102957,-48.715428561132285
2345.6965630954924,-48.71617283786509
2387.753091271107,-49.029216586272014
2479.697587132579,-49.71388692590335
2479.797367600007,-49.714630459920954
2479.897147628429,-49.719323869960135
2482.671562892749,-49.84982883596058
2576.581544785395,-54.263983723352794
2640.8595417382867,-57.284153666923885
2640.9594388713513,-57.28884920390374
2641.0593357908588,-57.291607551092966
2671.505972892577,-58.13252965141692
2754.5793305191123,-60.42734046250189
2754.6792176591894,-60.43009941412856
2754.779104867452,-60.43319350883576
2766.3727830008934,-60.792313045372794
2854.474279707631,-63.520807837863686
2854.574232577263,-63.52390285453657
2854.67418549582,-63.52651712335137
2860.305231989621,-63.67379656200501
2932.8854836695905,-65.57171204175575
2932.985464062303,-65.57432588915435
2933.0854444062134,-65.5779837630107
2955.283230114805,-66.39015882183776
3050.2372318163916,-69.86466962611848
3144.183083517982,-73.302136448272
3220.984647156759,-76.11186663326771
3221.0845802775775,-76.11552234307965
3221.1845133740417,-76.11944275114001
3239.1241587250947,-76.82321441189015
3334.0627852506163,-80.5479508786284
3427.9839031711,-84.23302781324855
3522.884734962657,-87.95636584141539
3617.768424955076,-91.67877020354899
3708.657685743007,-95.24452318294607
3708.757557558373,-95.24844155733626
3708.857429364084,-95.25219773237404
3711.6469920810873,-95.35711426234593
3806.52363357468,-98.92844200868058
3901.38609212428,-102.50150909908734
3996.2777277051423,-106.07445814184757
4025.7302007249996,-107.18322371028808
4025.830093065435,-107.18698412486083
4025.929985412662,-107.19013867997819
4090.177438613034,-109.2190053208451
4185.0895023582225,-112.2159896777448
4279.0139226148085,-115.18149653650653
4373.940179107642,-118.17828375958197
4468.852369520993,-121.174313837706
4513.999897996185,-122.59944009642095
4514.099849945584,-122.60259522299384
4514.199801996673,-122.6057296182862
4563.8050584075345,-124.1612822019888
4657.793331564,-127.10864654446232
4752.768306797748,-130.08706123713637
4758.128048622723,-130.25514605011995
4758.228006126699,-130.25828078657287
4758.327963590209,-130.26092807218083
4847.709187154207,-132.62840544254504
4941.616721318052,-135.11613572762872
5036.481509430008,-137.62959435966877
5059.316609473053,-138.23456997833273
5059.416526212467,-138.2372165683082
5059.516443276143,-138.24443780208458
5102.947624556482,-141.3831143068819
5103.047609973997,-141.39033958834443
5103.147595381393,-141.39258728239838
5130.429305272806,-142.00604511547135
5225.388000457304,-144.1417515522844
5236.978923124239,-144.40243217219358
5237.078882905022,-144.40468028670875
5237.178842695235,-144.4096809129387
5312.968386034965,-148.2013028152851
5313.0683255151325,-148.2063028094526
5313.168264931928,-148.2101824792735
5320.343849142645,-148.4887395902806
5414.285803987894,-152.13567688910734
5509.251638793494,-155.82343246336495
5603.135474221466,-159.472058506135
5649.977950709483,-161.2936631549128
5715.72172777738,-163.8505632076667
