VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
7.804121597744711,0.1398021156910545
7.900450503438378,0.14152773205751146
7.9967859963517185,0.13855258351941302
42.73961813980236,-0.9344565089886601
67.8534165460818,-1.7101094276440563
67.95265541097649,-1.7131744818434527
68.05189720460805,-1.7174894732161192
93.32052803309466,-2.8161568505183823
187.12297801235854,-6.894761231065786
281.91187590764275,-11.016461605020595
375.63487490024534,-15.091760266848723
416.5864380064478,-16.872373520585825
416.6861192007565,-16.876707748686385
416.7858005487336,-16.882225726236356
470.33986969448836,-19.846764916932443
565.1363097977611,-25.094652495779883
659.0152365984248,-30.291774289382374
753.9707076782139,-35.54831769028897
780.8948075436771,-37.03886614289695
780.9947533909998,-37.0443994162797
781.0946991063032,-37.04965556170464
847.8851092039548,-40.56357125921022
942.7484153388936,-45.555848538220744
970.0068942830604,-46.990198437910294
970.1067738222144,-46.995454176618296
970.2066533115316,-47.00124427095943
1037.6235932293216,-50.90948326506077
1131.5176984069549,-56.35123080035919
1200.3901272997614,-60.34182135335686
1200.4900539603777,-60.347611367216814
1200.589980671542,-60.35244078564756
1226.4367189278923,-61.601597339107684
1278.9095634241608,-64.13746019418068
1279.0095362974685,-64.14229139885174
1279.109509217979,-64.14924797964886
1320.4064298739559,-67.02275755255141
1415.3447343323055,-73.62982142899818
1433.0360158024137,-74.8613087466565
1433.135847524003,-74.86825822668652
1433.235679153829,-74.87150516322072
1510.1524156177366,-77.37409449863299
1603.973442469718,-80.42533293451561
1685.2262785290873,-83.06653994484986
1685.326176981957,-83.06978832124878
1685.4260754528386,-83.07291688336954
1698.8595640362332,-83.49362564559124
1793.7477169024341,-86.46539508353271
1887.648019899013,-89.40579778535539
1982.507410559539,-92.37535077267057
2016.0986489770312,-93.42675810702349
2016.1984382012733,-93.42988148916447
2016.298227460256,-93.43887062692374
2056.7298044266563,-97.08110945768021
2056.829606927933,-97.09010034725543
2056.929409459864,-97.09644628136812
2076.3131830084876,-98.32899044123224
2171.0929390007777,-104.36049114258458
2218.221579469111,-107.36018528472232
2218.3213548213193,-107.36653218217361
2218.421130234696,-107.37153157215289
2264.869816658807,-109.69840244834631
2359.6841113441474,-114.44681066547673
2454.538891916338,-119.19771147102074
2485.6775932284622,-120.75740092212254
2485.777460795903,-120.76240253663673
2485.8773283972696,-120.76791539730402
2549.409641103787,-124.27532139229697
2643.292933426095,-129.45874961332447
2726.906595807253,-134.07496230533434
2727.006552756769,-134.08048057408632
2727.1065097547935,-134.08397122638053
2738.2300984563276,-134.47241495745948
2833.131910239916,-137.78709799965145
2927.9642964258524,-141.10039061872885
3022.847434245551,-144.41614634234793
3117.7180325631007,-147.73341732313202
3212.593245144268,-151.05081033503666
3217.587563446462,-151.225347743537
3217.687486432349,-151.22883960593208
3217.787409488131,-151.2330349962649
3307.479095801946,-155.00251604814184
3401.211915557799,-158.94694939403234
3496.0300107383105,-162.93600868258181
3589.9338451994286,-166.88561692637995
3642.743095105678,-169.10675491356415
3642.84303401818,-169.11095684565953
3642.9429730140814,-169.11441715125693
3684.8650710888546,-170.56582218626318
3779.8263346937615,-173.85340366911078
3874.745561220105,-177.13961398587162
3894.6446271526943,-177.82851766178464
3894.744500179698,-177.8319751898216
3894.844373264203,-177.83275378309554
3969.635963150398,-178.41587485058335
4063.5604090994107,-179.14823788917965
4158.5200258489385,-179.88870325551397
4229.645876680545,-180.44334580175564
4229.745807790249,-180.44412506899243
4229.845738823536,-180.44757564214342
4253.468238491295,-181.26324981794096
4347.395585507211,-184.50699014980455
4442.337984103673,-187.78634109482482
4547.281953393545,-191.4112384144537
