VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
30.130992604082167,-0.7833104389592336
61.53017950833055,-1.599603071628735
92.20151553076528,-2.3969469311741705
123.02091594977935,-3.198113374341119
154.91617281073832,-4.027213740289881
197.8118315026719,-5.142252979172554
197.91170135626953,-5.144849040238114
198.01157142977968,-5.146660546424755
248.794879893117,-6.067856823252441
343.71010405189145,-7.790402164346233
419.8050855657416,-9.171742306496526
419.90496814278936,-9.173555178093011
420.0048507562731,-9.17887569458071
437.5876075501276,-10.115428024584617
531.4456956601443,-15.115245893193787
623.3141281764508,-20.00876638198133
623.414086701777,-20.014089810652877
623.5140453244396,-20.01835565606052
625.3460957377797,-20.09654021920869
720.3000389044689,-24.149000217357752
814.2414575986468,-28.15872294202927
908.1930871604802,-32.168940916682914
1003.17943927488,-36.22178558700216
1048.7793459217987,-38.1666541132181
1048.87932098895,-38.170917833052954
1048.9792960037635,-38.17133252564054
1097.1533503872174,-38.37116827171121
1145.8399344597894,-38.573163526345525
1145.9398521224996,-38.57357811840302
1146.039769717059,-38.57592302111698
1191.0748000540787,-39.63287212097748
1286.013251149265,-41.86096498755796
1380.0029721572353,-44.06645078950169
1469.7108779032912,-46.17069995875681
1469.8105956844477,-46.17303833913502
1469.9103128526042,-46.176680526932614
1473.9029821554807,-46.322528963510194
1567.5636008387917,-49.746087641435224
1662.1388929178208,-53.2050731610816
1755.860401706767,-56.626513372319096
1796.4311994052916,-58.103392287588576
1796.5310946675993,-58.107025157158205
1796.6309899737514,-58.11001346451485
1849.7457349345202,-59.70196966187359
1944.361872768988,-62.55583584537999
2037.5704501517318,-65.38092021585908
2122.3239160065605,-67.95402029394972
2122.422669669697,-67.9570221767608
2122.521422889413,-67.95887846227015
2130.5517509547117,-68.10984311055654
2224.7183683917165,-69.87552023565695
2318.466156576588,-71.62304386510004
2342.7140834353804,-72.07325941599083
2342.814016723336,-72.07511345660896
2342.9139500420324,-72.0791478714309
2413.376723165956,-74.92526431942497
2504.1997008068693,-78.5955088023129
2599.0481185031977,-82.42793207862451
2623.625173370582,-83.4211735270892
2623.7249813312274,-83.42520823404448
2623.8247888317137,-83.42869975287795
2692.7058672819903,-85.84774503350855
2759.106177716996,-88.19193383967286
2759.205087749643,-88.19543046694889
2759.3039972716797,-88.1993265748406
2784.7820463081152,-89.203665945397
2800.8101404311046,-89.83602360735313
2800.9088779628673,-89.83991952380893
2801.0076152732136,-89.84426061646082
2878.5116735177144,-93.2535890896288
2967.6296023315053,-97.16732608549137
2967.7287154372743,-97.17166934178567
2967.8278289764394,-97.17166408259254
2971.4480770655273,-97.17147199792453
3051.4814752213842,-97.16723055194598
3051.580812295717,-97.16722529330764
3051.6801495928057,-97.1711860088817
3064.746791142262,-97.69208153089312
3121.4058382078947,-99.95213453241922
3121.50502827982,-99.9560941687414
3121.6042180212207,-99.95807872352998
3159.0043892337962,-100.70679492384988
3181.975863411123,-101.16673292042287
3182.075025406267,-101.16871752944098
3182.1741878251887,-101.17204854705415
3252.301581543693,-103.525135768381
3345.69807429693,-106.65747932177146
3429.182176270324,-109.45637382181667
3429.2816654173457,-109.45970605620096
3429.3811547668056,-109.46388220309564
3439.139450212948,-109.87346228911883
3533.807079442561,-113.84067395019338
3560.371054759933,-114.95228766247419
3560.4708036468846,-114.95646204624609
3560.570552529265,-114.9608654818312
3627.5696410692617,-117.91886095085647
3700.1254668866595,-121.12042966950139
3700.225290061614,-121.12483155323389
3700.32511330296,-121.12965210808761
3721.3795862248544,-122.14627656527773
3816.2139105341294,-126.72575206930742
3910.0349289289616,-131.25526416262073
4003.86691019755,-135.78390981006123
4022.9821624939304,-136.70642991665954
4023.0820313485847,-136.7112489034953
4023.181900274534,-136.7141080997062
4098.744558644663,-138.8780572229207
4192.626441290035,-141.5681401301099
4193.996524531676,-141.60740915413407
4194.096382057047,-141.61027125774854
4194.196239493959,-141.61276943782286
4286.439826792707,-143.92183749613287
4381.278339036589,-146.29543725104486
4475.227796796048,-148.64383408999493
4512.765192801378,-149.5820013045941
4512.865071361795,-149.58449842072878
4512.964949644144,-149.5876211428258
4569.076796933043,-151.3434351602773
4663.634970224429,-154.30900789954467
4757.2459708437045,-157.245086909581
4845.988137675876,-160.03180422182777
4846.08724326262,-160.03492441180606
4846.186347850706,-160.03745430271556
4850.733223141579,-160.1535509146579
4944.9095209189,-162.5582582653351
4992.905403428892,-163.7829060275726
4993.00465525859,-163.78543715531669
4993.103907170637,-163.78869448092155
5038.197885678999,-165.26792587686214
5103.6599231955615,-167.41719216113415
5103.759006543412,-167.42044970336065
5103.858089523572,-167.42411943545085
5131.388224185639,-168.44440725954155
5219.002601288294,-171.68895432870704
5219.101801443719,-171.692622731729
5219.201001808655,-171.69551848410447
5225.533649040413,-171.8803626866047
5318.928904334023,-174.6019793549749
5413.487890694841,-177.3520232748633
5507.16221423875,-180.074677018918
5529.499945439403,-180.72354884018205
5529.599661719207,-180.72644433997812
5529.699378046339,-180.72968536257576
5600.8865927489305,-183.04264017508467
5694.613027170483,-186.0865465980405
5746.492071979213,-187.77093520390918
5800.375984283544,-189.5201210228388
