VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09813556302176174,-0.0019743465882129385
0.19627423929114407,-0.007222832945444679
5.696918283813533,-0.3014073931017265
36.74214000266329,-1.9628081459904934
36.84079751290933,-1.968091024502428
36.93945592751705,-1.9730696006317885
72.57472057410308,-3.7730603594709464
72.67362439325328,-3.778060948604434
72.7725286647082,-3.78010953955436
97.51939589292715,-4.293188998823098
146.26549904273242,-5.307208781906411
146.36422944670747,-5.30926742002157
146.4629590806575,-5.311618895489119
191.28797233304212,-6.382907853565484
263.83463166575416,-8.129441767592652
263.93197516993905,-8.131794430670197
264.0293172753218,-8.133426193079686
283.1196588243938,-8.45384004288644
322.73379145243115,-9.118375613230455
322.83124375864145,-9.120007503734087
322.92869699254044,-9.120442304543758
375.7515609806423,-9.355620133599587
395.9217258350139,-9.445153956655304
396.0198140945925,-9.445588979268905
396.1179031133716,-9.451531783945939
451.99261094861396,-12.829580940707274
452.0911053513171,-12.835523092338917
452.1896004186328,-12.838022936309244
468.1315781114333,-13.242455577564215
560.1488805346067,-15.56862987873319
595.6161841897981,-16.461042589497083
595.7157296702038,-16.463543259525977
595.8152758683764,-16.465251443534726
653.7735730285334,-17.45846809068553
701.052885251939,-18.26817405946713
701.1526071745493,-18.26988311058085
701.2523287429165,-18.27117146081946
748.5005788955301,-18.882281326407792
834.1208744413074,-19.994071762966087
834.2197835423558,-19.995359753279445
834.318691769118,-19.99673883779451
841.7587185073058,-20.100490330845787
935.949740447961,-21.412424958375595
1030.531839219457,-22.726930677126802
1124.2416606827383,-24.028125901346357
1219.111736003424,-25.343131904940492
1313.105033158782,-26.64269426395731
1400.5878534747965,-27.85108995421524
1400.6878312287952,-27.852470780884687
1400.7878089512274,-27.853832756903103
1408.093249338918,-27.953352882975196
1502.0711307518159,-29.234013937205418
1595.9868911303447,-30.51481367330416
1690.8903701858749,-31.809143434895304
1712.7787705004464,-32.10755342810626
1712.87871813437,-32.108916054881774
1712.978665780166,-32.10948606412421
1785.8428225435864,-32.525030096518094
1879.6868075381149,-33.060084525393904
1973.383414986625,-33.59417034008675
2068.2540755987698,-34.135096076316586
2163.2230343420447,-34.67689068369509
2257.058636190597,-35.212425492827606
2350.699177114741,-35.74698043764056
2445.2531621559447,-36.286797559909246
2458.4815271608336,-36.36231104280159
2458.5812010699824,-36.36288000690092
