VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
56.53809775755417,-2.975228405877715
151.3279012028015,-7.963993705543544
165.7364362671924,-8.722520228931899
165.83624140977963,-8.727774519695231
165.9360465589366,-8.731492898847137
246.13935299760215,-11.720657949148517
265.9984119158669,-12.461075195187732
266.09821021841253,-12.464796066080453
266.19800856008953,-12.469560365740108
339.95854300660073,-15.990930718344316
434.8290277514219,-20.516918527997404
448.05601396052805,-21.14738501965803
448.1558933490327,-21.152145082403877
448.25577274020736,-21.157030134223533
528.6884997618166,-25.093968806046178
623.5159584458962,-29.739176470890015
717.3082015444871,-34.334493171401846
812.0559721021472,-38.977731923401734
906.9024488538456,-43.62331831292431
959.0793089134944,-46.177474830896244
959.1792099786054,-46.18236542097475
959.2791110715381,-46.186731352127026
1000.8076697120522,-48.00166908350366
1095.7455710789668,-52.151030573935714
1189.703346150272,-56.25691124648438
1284.5018140050256,-60.39929227500397
1364.0975748845563,-63.877736319222095
1364.1972407277813,-63.88209169672518
1364.2969066825085,-63.885093778471855
1379.1483672174336,-64.3324421336074
1472.9463107908437,-67.15800307364589
1563.720712117813,-69.89269484830038
1563.8205739454388,-69.89570331009963
1563.9204357730641,-69.90110579888278
1567.81504705514,-70.11180286167655
1661.7146214502213,-75.19165928132134
1756.6658520151063,-80.32829289399888
1851.5971097802671,-85.4639137362974
1945.44827165503,-90.54110329834839
1963.3178355164218,-91.50779754703944
1963.4176836509805,-91.51319906223398
1963.5175319795544,-91.5117427169298
2040.348946805983,-90.39112706464766
2113.1609418347375,-89.32910124032787
2113.2607117138723,-89.32764594330001
2113.3604812173094,-89.33485997827484
2134.2035849222225,-90.84202250072485
2228.9182549347433,-97.69165420531135
2323.6979983536276,-104.5461022943
2417.594237064477,-111.33533948148397
2512.3779515725328,-118.18775107683723
2512.477740999334,-118.19496526076728
2512.477740999334,-118.19496526094008
2512.5775303526466,-118.1992848640748
2562.283555192482,-120.35094449145981
2562.3833873810563,-120.35526604627557
2562.483219648908,-120.36285659231726
2606.3169123561283,-123.69573624102304
2701.167083184689,-130.90880385132004
2712.0465813253304,-131.7362965416214
2712.1463894609096,-131.74388815205748
2712.2461975248216,-131.74292064761175
2761.939830281506,-131.26107092773782
2762.039591330619,-131.26010332871192
2762.1393522631583,-131.26338845280043
2794.953839938372,-132.3441751009268
2889.7527439528344,-135.46560365239384
2961.548571384081,-137.82818322075764
2961.648432275326,-137.83146891143406
2961.748293180534,-137.83624757544567
2984.616789931614,-138.9305869093114
3078.516105719633,-143.4247647987413
3173.4333626882126,-147.96839565933624
3184.301926652242,-148.4886659955173
3184.4018631847202,-148.4934498747043
3184.50179974416,-148.49332692868302
3268.381974942186,-148.39013950754452
3361.196245995238,-148.27594091553874
3361.296091877106,-148.27581803658177
3361.3959375999802,-148.28380672959975
3362.2945419389803,-148.35570464462035
3457.146906506575,-155.94555053562
3552.0402422795605,-163.53722076303893
3630.710799301759,-169.82816066953092
3630.8107468414364,-169.8361515708002
3630.910694400418,-169.83742708226055
3645.983356557559,-170.0297804436941
3713.853714927519,-170.89588827223997
3713.9536736354266,-170.8971638201656
3714.0536323389233,-170.90047397570015
3740.942212689578,-171.79090994683247
3813.8211492029122,-174.20431965642274
3813.921132174064,-174.20763052733128
3814.0211151683543,-174.21165340237349
3834.9180060195167,-175.0524687142588
3913.794264164915,-178.22668990417515
3913.894207705108,-178.23071252568297
3913.994151154973,-178.23421142302504
3929.883949787296,-178.79053642294275
4013.722980925987,-181.7262360769564
4013.822907161887,-181.72973526272835
4013.92283339426,-181.73694822905236
4023.8155105183023,-182.45103344040035
4118.749585765284,-189.30276791266988
4212.660140546399,-196.0799667011761
4307.534807503941,-202.92633970270617
4503.253075984693,-217.04843335471742
