VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
22.624965919498294,0.03784698919480434
113.51584291381724,0.1895218893805577
201.33825597169343,0.33555526909003675
234.45566657330252,0.3906774937040609
234.55210774051372,0.3908381875753548
234.64854842567522,0.3855033260952041
291.92325189684345,-2.7888441064078506
298.139020579648,-3.1337890103877726
298.2352426400063,-3.1391255555545285
298.3314665394149,-3.139997333059
383.9944175504006,-3.910659772614963
452.46576263379336,-4.521558428506978
452.5636681849122,-4.5224307588632655
452.6615740769415,-4.523445109203749
474.97015727935195,-4.754494640796111
566.3607658310543,-5.698101922631395
622.9282827078273,-6.278288723568039
623.0274732307286,-6.279302117056432
623.1266647230632,-6.2799099663589
661.4732471588177,-6.514555302939698
713.8962119457717,-6.834624368329969
713.9958915542827,-6.835232501038263
714.0955714011656,-6.842123239865032
755.1509419540845,-9.679079475959952
844.866595383412,-15.873901418544847
844.9664131547358,-15.880791455725557
845.0662309862387,-15.886052348616431
848.9537633516561,-16.09094184564856
944.7726074399168,-21.140938572993036
1039.5750762179712,-26.137494060207246
1043.8133212976797,-26.360874684638475
1043.9131042451136,-26.36613380570998
1044.01288720103,-26.370477138856586
1110.542154465962,-29.266089964117782
1110.641941805154,-29.27043270748618
1110.741729148797,-29.272189628223714
1134.37164800275,-29.68822210048711
1222.5257571162833,-31.239651586720356
1222.6256294573652,-31.24140858258943
1222.7255018785643,-31.241389402470304
1228.2165707616496,-31.24033487536508
1324.111414643981,-31.221921787157044
1418.0151532735692,-31.203894575693994
1490.8610179480913,-31.18991264907072
1490.96095468156,-31.18989347012939
1491.0608914590118,-31.188982895502704
1512.941719539025,-30.98961510277968
1607.9099137543992,-30.124301217700122
1701.8855961745398,-29.268016334990534
1796.8625906813356,-28.40260874487285
1890.8562411263376,-27.546174898263416
1985.84819963021,-26.680660598532995
2053.8666994360465,-26.060929676570595
2053.966590495177,-26.060019560118235
2054.0664813777385,-26.059043492901765
2079.7725055423957,-25.80784398578544
2175.686378716447,-24.870685855003103
2269.673710858466,-23.952816445531425
2364.6709330694525,-23.025250599861465
2435.2140190617024,-22.33637011015344
2435.3140075516426,-22.33539369360551
2435.4139960232624,-22.335773785836864
2458.6629728946314,-22.424152057652464
2552.658625285574,-22.781511651503024
2647.6425974447666,-23.142830562128438
2745.612917830481,-23.515590256014548
2839.5027600157923,-23.873008759272125
2934.204313798002,-24.233807095397424
2978.2985910336984,-24.40181054779714
2978.3982787813584,-24.40219036725648
2978.4979665522424,-24.397506388514557
3023.15400044687,-22.29928196511173
3023.2536983070117,-22.294597539098504
3023.3533961887983,-22.29919053291087
3027.9112798635,-22.50916816220888
3121.616815759481,-26.826897829369045
3161.0480648788016,-28.644853511284964
3161.1476762856933,-28.64944786380147
3161.2472875124395,-28.649284212184284
3215.234915291944,-28.56052041600924
3309.6970648290912,-28.404995307151694
3391.347796388335,-28.27056120470661
3391.44729409288,-28.270397486547154
3391.546791897164,-28.26995298546717
3404.173948573558,-28.213544768237625
3497.767553964188,-27.795589840046887
3591.468332131073,-27.377548927484895
3686.1953947918673,-26.955347917779363
3780.090647271866,-26.53736601260607
3875.06422432142,-26.11494431832216
3898.352997307426,-26.011352470867678
3898.4529665470695,-26.010907763098658
3898.5529357636656,-26.010189204695052
3969.0295194467276,-25.50356357887904
4063.982286806941,-24.820907549026742
4157.928459705017,-24.145433296620467
4251.868576422494,-23.469959568146805
4346.800462735845,-22.787312807064154
4441.723775157961,-22.104689434132524
4535.624268497352,-21.429302712944263
4630.546073700372,-20.746688437324337
4724.500067537054,-20.07123710617816
4819.429051650655,-19.388632084353958
4913.378094561462,-18.713247292736924
5007.347578371539,-18.03799766314296
5102.310841042057,-17.355622538021635
5196.2633360096315,-16.68053624816457
5246.884614449864,-16.316872669092845
5246.9845868358425,-16.316154589960206
5247.084559263999,-16.315194194201467
5291.2325571785605,-15.89107313855493
5386.212626326389,-14.978602486768068
5480.1934383198995,-14.075748866831418
5575.175948604538,-13.163299005538647
5622.152626968206,-12.712021735484086
5622.252607019971,-12.711061282702758
5622.352587072089,-12.713597718400706
5669.157148879958,-13.900993579838541
5763.1342197450385,-16.28522560429974
5856.12030553873,-18.644399991771934
5922.744704397077,-20.334698921389645
5922.8446998331965,-20.337235833740124
5922.944695267677,-20.33911475142486
5950.115936547512,-20.84965782947438
6045.106236818705,-22.634607793173927
6139.084335641622,-24.400766632751584
6233.04543510072,-26.166751734035643
6326.984099483885,-27.932478743567117
6419.90514903106,-29.679189877480894
6420.420742994639,-29.68888181128932
6420.520651795821,-29.690759858007368
6420.620560675685,-29.692933895286842
6515.844041325716,-31.765054778576086
6610.792611110471,-33.8314594014937
6704.718080300246,-35.87611198681225
6795.139706083996,-37.844857757194404
6795.239597166543,-4.8669790005751565
6795.339488234777,-4.868570100086799
6798.621436682043,-4.920846188251744
6893.575702268894,-6.4325245772470225
6987.54323374202,-7.928244453181833
7082.458927890974,-9.43983817669141
7176.406622908592,-10.9356269426371
7178.255678049069,-10.965054061160117
7178.355661675381,-10.966645255723051
7178.455645347195,-10.96443220412948
7272.400115432798,-8.884971948802558
7367.386982511831,-6.78232838666554
7376.309332318673,-6.584819081155729
7376.409310551616,-6.582605913910811
7376.509288770177,-6.581972408028378
7461.360751289821,-6.044418406532714
7555.344921873202,-5.448221912020017
7649.260581154739,-4.851090603335251
7743.983741346963,-4.247591633802585
7837.424951256697,-3.6510560867372988
7929.726165164367,-3.0613065723573527
7959.491582381381,-2.8710952116089175
