VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09566038879165717,0.004281020103007904
0.19132573071271963,0.006759910205801134
14.191302967112847,0.36938681065657875
14.287661533630512,0.37188171683374094
14.384024590468925,0.31723180334120116
31.65119400890228,-9.472171838058784
31.74831197517392,-9.527213547273277
31.845433862773348,-9.556960417032315
72.4327757465453,-21.986377007717238
76.07822242592488,-23.102582558392896
76.17679888826649,-23.13276558962025
76.27537798981291,-23.133089999408185
166.80064803479502,-23.43138535010803
197.06008551988214,-23.531198856833726
197.1599118033829,-23.53152806097387
197.259738323541,-23.53085912109964
261.6632525266349,-23.099273507448743
356.6373428090086,-22.462721673042324
444.08681019754124,-21.87653136541303
444.1866873376947,-21.875861873479153
444.2865643919798,-21.875458702810647
450.54297993756325,-21.850203731904912
489.5158158477112,-21.692878220095736
489.61567422277324,-21.69247509537854
489.71553256353843,-21.692179486539317
545.4055328499002,-21.527317664013026
640.3256040063058,-21.246376931370833
735.3125754824317,-20.96532108111387
830.3089794559161,-20.684260735659336
925.3060278977993,-20.403200341832417
932.6265703985513,-20.381541039378135
932.7265613745088,-20.38124518863333
932.8265523608278,-20.379856263678448
1019.267507781739,-19.178650100484447
1114.2270252928602,-17.85922387127357
1179.649394685322,-16.95023084890454
1179.7493015741697,-16.948842019111908
1179.84920810912,-16.946611354809647
1209.154614563418,-16.29207456057884
1303.984500262503,-14.17384251099611
1397.9450159601793,-12.078087819241773
1410.201497365605,-11.805032872163792
1410.3014222802362,-11.802806604064244
1410.4013472930387,-11.80763166126053
1492.8998011718254,-15.79165207549886
1585.8643247980685,-20.28380635450958
1585.9640218873774,-20.288626219768048
1586.0637182582718,-20.28555975313793
1587.8040691978736,-20.232026137215144
1681.4234116947641,-17.350276358647534
1711.1979473062052,-16.433687766906587
1711.2975902789608,-16.430621978061026
1711.3972337019468,-16.432058293334194
1776.139545626119,-17.365003236354823
1870.086874360435,-18.71665842782204
1876.79469743434,-18.813040295810424
1876.8945046717904,-18.814474338696527
1876.9943116496784,-18.81480545380873
1964.7831165728212,-19.10652999764352
2058.2692842131833,-19.41785310987143
2074.4322888062625,-19.47170479959277
2074.531676204162,-19.472035936316388
2074.6310635506125,-19.47713811495305
2152.668597504203,-23.48323368208912
2203.1297573642732,-26.074100447136516
2203.2290811795456,-26.07920101187119
2203.328404970094,-26.080707528117273
2247.026279346464,-26.74358139765718
2340.68607832938,-28.160835168044287
2379.743634360939,-28.75010542328164
2379.8435453397433,-28.751612238338566
2379.9434563831937,-28.74748789675141
2436.601656606786,-26.40878377169429
2530.532233543556,-22.532782823085654
2625.4974108301426,-18.61403248964598
2628.6989741120065,-18.481884202159563
2628.798890691376,-18.477759999832415
2628.8988068258295,-18.481251961662565
2652.4590808879343,-19.304727482642193
2725.3952842764406,-21.852892112929112
2725.495129229091,-21.856378597820367
2725.5949740370115,-21.858882704183998
2747.3009326656766,-22.403417807398
2842.2136768948494,-24.784713598388407
2863.043807568394,-25.307210011404095
2863.1437794514236,-25.3097175560888
2863.243751367007,-25.30902968488408
2936.1936863702595,-24.807111371668725
3030.187318446297,-24.16050436198384
3109.412940520824,-23.6154404755016
3109.5128764357173,-23.614752792225772
3109.6128121624133,-23.61418331281675
3125.157306020715,-23.525595775168767
3220.107006224325,-22.984572489031052
3312.098367746769,-22.4606060439055
3319.857825963431,-22.416414261404498
3319.9578216712157,-22.415844754472346
3320.057817351361,-22.41563439420497
3403.0763509333606,-22.240954715558473
3475.8626040582053,-22.087755237675083
3475.9624870047305,-22.087544978387086
3476.062369856639,-22.092294040165143
3494.9895323914166,-22.992248537379055
3567.927031189393,-26.45911545940544
3568.0269731479407,-26.46386407704631
3568.1269148477454,-26.458159836731284
3586.934367928027,-25.38473544656881
3642.9387315048975,-22.18833819381507
3643.0386561738455,-22.18263499402201
3643.138580916057,-22.187681359555427
3678.856216116436,-23.991512706799767
3681.7991468746627,-24.14014015043358
3681.899093825053,-24.145187770294797
3681.9990407587634,-24.143341799930568
3769.790179607386,-22.52183450782468
3823.329375029532,-21.532954043124846
3823.4293732364154,-21.531107094009712
3823.529371389521,-21.534875928560723
3861.7597444994676,-22.975842725010807
3900.1094817812123,-24.421344495267476
3900.2094349210015,-24.42511182072667
3900.30938815338,-24.427148861395835
3953.719300823726,-25.51562948798528
3968.9130302752405,-25.825271046527632
3969.0130191091034,-25.827308775364145
3969.113007952596,-25.82897351667998
4045.711437794493,-27.104281178728343
4084.499120236263,-27.750065029087637
4084.599118420522,-27.75172991245927
4084.699116582517,-27.761429362652052
4137.702861985986,-32.902724897159715
4211.191978222801,-40.03085685294354
4211.291954436362,-40.040553579810876
4211.3919306393855,-40.03675044995907
4229.67874588143,-39.341090035493835
4277.720529678495,-37.51333371342844
4277.820495279873,-37.509530285920846
4277.92046085716,-37.507849432859075
4321.646411998382,-36.77258534638531
4412.633628272057,-35.242887573314874
4417.116288579434,-35.167542380080704
4417.216287093533,-35.16586159857616
4417.316285600407,-35.160133717175995
4504.6274036628465,-30.158643565360762
4505.088504325957,-30.132228295387904
4505.188489254798,-30.126500414553448
4505.288474167435,-30.124694082300266
4596.605639262262,-28.4747838089952
4688.567140513041,-26.81296022492097
4719.293471513115,-26.25775799935218
4719.3934544407275,-26.25595165100276
4719.493437439601,-26.26032939669676
4768.829863932877,-28.420336802451857
4768.929851156843,-28.42471399085298
4769.0298383267145,-28.43152765689956
4783.549855034381,-29.421051824736423
4877.496285845568,-35.8252385167234
4884.677549849057,-36.31488585103398
4884.777453174609,-36.32169761055229
4884.877356595513,-36.32308744486181
4972.435142835235,-37.54103820452838
5029.916530902655,-38.34044813962646
5030.016517873699,-38.34183854231924
5030.1165048275825,-38.33912423044603
5067.417150963326,-37.32655367489497
5163.385578038753,-34.721424898592886
5219.789346069813,-33.19035596322283
5219.889273772747,-33.187643530473
5219.989201383296,-33.18339335797464
5257.322526642413,-31.59546821306685
5264.534852961645,-31.28869212794416
5264.634751905398,-31.284442924279574
5264.734651007539,-31.284108824336727
5352.271116117371,-30.991354206948017
5446.230230194352,-30.677119884103377
5541.166724344125,-30.35961660564135
5635.129081848271,-30.045370684694717
5703.324983965597,-29.817297287074325
5703.424918450051,-29.816963067476536
5703.52485288941,-29.816569369026183
5730.074732939183,-29.7119719067814
5824.044780380206,-29.341865966091063
5883.756694518251,-29.106714513724
5883.85667283959,-29.106320714678077
5883.956651025338,-29.104835947542597
5919.020391529515,-28.58416035433038
6013.98171223278,-27.173732153936726
6107.943631005907,-25.77760408327231
6202.896723046369,-24.366639645120813
6215.6347683069625,-24.17735322801309
6215.734707052832,-24.175868124477347
6215.834645709153,-24.174120996834972
6262.458913565774,-23.358897849951973
6262.558794533611,-23.357151140795395
6262.658675344261,-23.35161623541535
6297.795622647928,-21.404163101404265
6350.455415796186,-18.484033599304894
6350.555165083058,-18.47850037349417
6350.6549142270915,-18.46984700491521
6391.565615234525,-14.919694378848362
6451.040334558362,-9.761692462339852
6451.140240245786,-9.75303592196542
6451.240146102055,-9.754289968381272
6485.657899992598,-10.186184571655758
6485.757824054913,-10.18743811081913
6485.8577480536305,-10.19013900164282
6486.427828851589,-10.205547943753118
6578.401167388065,-12.69126838826196
6632.899205954762,-14.163939049642067
6632.999190960097,-14.166640763876785
6633.0991760011675,-14.164535240737678
6667.382251215334,-13.442548970031567
6756.33752436153,-11.56832222112098
6766.635828909751,-11.351254101387894
6766.735681715703,-11.349149387060606
6766.835534491898,-11.362877229972582
6845.197219459114,-22.137185509363917
6864.93670277198,-24.8518543758546
6865.0364900215545,-24.86557925206762
6865.136277052208,-24.864577090398598
6901.991995262874,-24.49433306753599
