VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
59.83671562938908,-5.924862774942085
59.93585756433277,-5.934679817322831
60.03500180675,-5.93661883776258
93.74380075814861,-6.595901430086087
187.50921808032658,-8.429838133368321
282.2915428283834,-10.283652109888862
377.11234173054265,-12.137592778532053
470.9371224797095,-13.972208051874986
565.7354710858507,-15.826709422473868
646.2871646688019,-17.401580260782794
646.3870966737554,-17.40353279477131
646.4870286727831,-17.4108106710828
659.6361784914826,-18.368511619682977
754.5698284933788,-25.283794812175984
849.5293029240523,-32.20030348851469
889.7681860511348,-35.130679992038495
889.8681354323213,-35.13795868284615
889.9680847271014,-35.143237501119074
943.4732652999215,-37.96914703098628
1038.3836763698125,-42.98240270400311
1132.2670950399076,-47.94353849626896
1227.1536071064643,-52.95842265124156
1288.1478863191473,-56.18168709004567
1288.2478258612603,-56.18696884874407
1288.3477653828818,-56.1970000321453
1322.096202561616,-59.58475397818438
1415.942747678818,-69.0082197036736
1509.3683882886212,-78.38707953685844
1509.4682927123845,-78.397104186035
1509.5681972951836,-78.40049866359914
1510.763248339101,-78.44110317504965
1605.683840845494,-81.66619821745917
1699.6370748190704,-84.85867645597136
1794.5958607512923,-88.08558459660162
1888.5761790016625,-91.27920140757669
1983.5066252042802,-94.50508992325013
2077.2239621053363,-97.68980267268307
2171.814266947851,-100.90427009573432
2212.1796295951444,-102.27603683278721
2212.2792394183516,-102.27942198708297
2212.378849276418,-102.28023531016333
2266.444998850628,-102.72173308474157
2362.1671153812968,-103.50321681589776
2454.9907840784854,-104.26111469553689
2494.326933506552,-104.58247757411482
2494.426732257079,-104.58329302798484
2494.52653093562,-104.58643732476048
2548.79108835828,-106.29611302502963
2643.4889688408894,-109.2796850232462
2737.1635587424707,-112.23103493424605
2831.892978015151,-115.2156453877542
2926.6703877302675,-118.20176914344847
3020.521983427194,-121.15873583460416
3115.4339758345136,-124.14912154615013
3210.350462842575,-127.13964721495904
3304.2441620868644,-130.097929252619
3399.1046450556014,-133.08669432380702
3493.8247507670235,-136.0710874294782
3587.4891687294426,-139.02223256374054
3682.212385602688,-142.00673463510066
3776.1174039106563,-144.96542797742222
3871.0713414526263,-147.95716340015497
3965.9551518668272,-150.9467015399041
4059.7306084884563,-153.90133622141911
4154.453950967467,-156.885833162567
4248.1718838342185,-159.8386347675605
4341.918844765245,-162.79235487999358
4436.702267465215,-165.7787180375053
4530.535639994813,-168.73513138219823
4625.412669233202,-171.72439601062797
4720.094352716015,-174.70745780484322
4813.546854079403,-177.65176582600725
4818.979590097902,-177.82292845505071
4819.078931216149,-177.82605827567204
4819.178272561386,-177.83113282948216
4908.00470135185,-182.36603049241785
4960.955396901095,-185.06516714582722
4961.0550512326745,-185.070241941914
4961.154705755505,-185.07444545544422
5001.660681635708,-186.78213880677504
5096.3299142902715,-190.774150301595
5153.494320501688,-193.18277442391263
5153.5941209772,-193.18697316658654
5153.693921637171,-193.19394471317537
5191.0950022494235,-195.8070499186324
5284.9461192449635,-202.36494052010312
5379.756159681213,-208.9912098178247
5473.501681208698,-215.5447688761069
5568.354301724158,-222.17472542518044
5662.189483179716,-228.7328100589384
5756.927981026037,-235.35443853278593
5851.687317190809,-241.977569888184
5945.472295399836,-248.53223796382736
6040.29225705859,-255.15882304610204
6109.179533985464,-259.9729084817591
