VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09663829624298614,0.008751154127821792
0.1932835886591988,0.013201102661696495
33.745038729759926,1.5577409823636117
33.843649309115335,1.5622795496256003
33.94226429596489,1.5635321246572857
61.22103824700639,1.9099791130356607
125.1537960017751,2.7213162790267234
125.25339841401399,2.722579448391116
125.35300084663075,2.7183178633549687
154.83250487221648,1.4571169270402606
165.37982161980463,1.0059367453923187
165.47941419040123,0.15565863609117514
165.57900668402988,0.14693395342692384
249.37038015912233,-7.201158374688021
271.1404874847865,-9.112536026215821
271.2399395683825,-9.121268923152456
271.33939201620757,-9.129667960663937
342.90048724529845,-15.179422975028501
370.65292422703214,-17.52952032342
370.75231201916597,-17.537941983588098
370.85169918628327,-17.543401552873547
437.18568922471434,-21.195828397378136
469.7768822195235,-22.99231260414126
469.87609679083664,-22.99777467468084
469.97531222130783,-23.00121616789329
530.5333384116716,-25.09822943778272
569.3185888513851,-26.43771240400929
569.4183696814564,-26.441155057107608
569.5181508631001,-26.448406724080996
625.3425201249377,-30.50320217910121
719.2913769377603,-37.32253766982103
769.1987742575354,-40.94491562473377
769.2987151418577,-40.95217002516438
769.3986559950556,-40.953480527288775
813.2362746499159,-41.5283379337161
901.2768318252014,-42.682470125784675
901.3768264341481,-42.68378048499471
901.4768210609684,-42.68246597903817
908.2087231713089,-42.59397020923825
929.1826903878322,-42.318257110186096
929.2826878743858,-42.31694261463599
929.3826853047959,-42.31974142088802
1002.1516587750906,-44.35842980221969
1096.9497230674867,-47.0178326778605
1122.0143186217233,-47.72122406651397
1122.1140576143425,-47.724023005410345
1122.2137964447322,-47.73063941309192
1190.6560208954388,-52.270615198634914
1258.0920321850933,-56.74310841888473
1258.1915934482865,-56.74971086881851
1258.2911547048557,-56.75759171304526
1284.2446480734498,-58.811885016686574
1320.3642501822728,-61.67097585700503
1320.4637883105238,-61.67885553772612
1320.5633263789632,-61.67814768658354
1351.6155251399932,-61.457308603612546
1351.715044256412,-61.45660078668516
1351.8145633115073,-61.44987882485839
1369.696622447445,-60.24199353877157
1369.7961302916083,-60.23527176565585
1369.8956380733548,-60.237309685067885
1378.799296225932,-60.41965906383484
1452.858560122331,-61.934828058683706
1452.958048736092,-61.93686132367293
1453.057537102959,-61.93609288726475
1473.3335424203315,-61.77947517041321
1567.1559613828028,-61.05471267764369
1594.9391155278727,-60.84008605799863
