VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
93.61276430569185,-5.117011991067557
110.6553838688024,-6.048585624959742
110.75504402840066,-6.054033190917835
110.85470444283057,-6.056807151973771
187.34781796703652,-8.185923232855203
282.16301078174325,-10.825012545725258
375.95160069571466,-13.435527019772053
470.68096294226905,-16.072228166380228
540.8298546332403,-18.024753701867667
540.9297644147908,-18.02753458961888
541.0296743319342,-18.02798961919507
564.5391350503776,-18.13507172197751
659.4789802036696,-18.567539391095124
753.4217701538155,-18.995387388733434
833.6213099779121,-19.36065429496739
833.7212315965647,-19.361109468914947
833.8211531887738,-19.366264039141242
848.3514347063492,-20.115834947673648
942.2564422424712,-24.95918215096026
970.4383861531355,-26.412445666721396
970.5382573120645,-26.417595789420375
970.6381285989476,-26.42289377679117
1037.1539794342855,-29.951288456732073
1131.0660511607255,-34.93380791877644
1225.9095560967792,-39.96691168838697
1248.2461064832198,-41.15221689222744
1248.3459569735985,-41.157515272816454
1248.445807630949,-41.16285875966969
1319.8008189082266,-44.98050164663073
1414.606616916997,-50.0551734209148
1438.6145638093521,-51.3409009948391
1438.7143083236267,-51.34624168881783
1438.8140534286283,-51.35080328987351
1508.4523367752927,-54.535003605233214
1603.440698072665,-58.8775951145235
1697.426032659387,-63.17434976413642
1791.4019659566875,-67.47087303581975
1822.7956075410293,-68.90624113773993
1822.8955650631988,-68.91081139461494
1822.9955225558185,-68.91424795506282
1886.3566078635286,-71.0926925074964
1980.240324369785,-74.32118133627228
2075.1535135320573,-77.58437959448565
2108.1167486670643,-78.71727131645639
2108.2167072440934,-78.72070675501709
2108.3166657768006,-78.72294287133082
2169.1076024696135,-80.08286047089496
2264.0614093862446,-82.20703206180951
2358.0326376307903,-84.30924091869201
2452.9853010721677,-86.43334306475481
2546.9471350115678,-88.53525909562813
2563.3557613884172,-88.9023241130053
2563.4557465140297,-88.90456079981777
2563.5557316095696,-88.90730874613291
2641.9204587232543,-91.06105126824514
2735.886989542909,-93.64358671736773
2830.8701728438245,-96.25406086812836
2914.9061790927963,-98.56366880599307
2915.0060986780345,-98.566414953415
2915.1060181141456,-98.56816734408312
2924.829578443266,-98.73869817386549
3019.778752614412,-100.40393295893955
3113.75147321847,-102.05210264156813
3208.7011429909135,-103.7175426368176
3277.872250793549,-104.93094727953576
3277.972167286166,-104.9327000858193
3278.072083749796,-104.9343620611071
3302.625852295297,-105.34280995277913
3347.540084322088,-106.08982868655403
3347.64001744383,-106.09149039524164
3347.7399505920353,-106.09550426011447
3396.558888609584,-108.05612465793638
3428.175277386682,-109.32573021547068
3428.275197674768,-109.3297426641202
3428.3751179301285,-109.33299415337387
3491.4778978126665,-111.38640397940799
3585.3928774882697,-114.44245339108784
3680.304022780764,-117.53155938912823
3715.466247860465,-118.67615482423389
3715.5661444560633,-118.67940641751738
3715.6660410835575,-118.68338148920702
3774.2076690490057,-121.01295111581203
3869.160301915679,-124.79158529146298
3963.1099162699384,-128.53083009488364
4020.9920105069727,-130.8349711343635
4021.091765098844,-130.83894225211407
4021.191519489232,-130.8430391232323
4057.8935666346524,-132.35072907087488
4152.595524501181,-136.24167879793094
4171.828643503689,-137.0316790549441
4171.92840134097,-137.03577572775976
4172.028159470044,-137.04024148452118
4246.430508485641,-140.37029867015917
4340.359618769742,-144.57292601258814
4407.697995723497,-147.58498457449605
4407.797931755461,-147.5894541447742
4407.897867777715,-147.59179556539493
4435.294450636943,-148.23372780227874
4529.227682873319,-150.43476987576287
4624.162224892825,-152.65918123915617
4718.101799092342,-154.86007935381895
4777.48015822861,-156.250855263188
4777.580032407753,-156.25319409966323
4777.679906428696,-156.2588883315002
4812.99244634416,-158.27212143948964
4906.833654517679,-163.62204695416585
5001.706924257004,-169.031789089644
5073.303090136671,-173.1149872965907
5073.402977241565,-173.12068403240846
5073.502864389459,-173.1213547634452
5099.583052104914,-173.29648520458795
5158.521966610185,-173.69227550922733
