VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
30.91723503096597,0.48210991487394494
61.34818842003074,0.956760831975771
93.10039985997673,1.451954630203545
124.02005348076528,1.933894947886074
155.96080063639113,2.431603788638313
212.06113221968144,3.3056215274355054
212.1610841331642,3.307178308674338
212.26103623408176,3.3015585149623803
250.8850457288837,1.1299483850471006
344.88329018664353,-4.154918983202151
401.7656682564324,-7.353040631864133
401.8656570284396,-7.358662460363121
401.96564574030776,-7.363851856514884
439.87113913943426,-9.331587210734142
534.8231038809263,-14.262196180621686
629.7499033893145,-19.191498542333647
636.3468489402728,-19.534051665741572
636.4467102263296,-19.539237332253833
636.5465713530929,-19.54459083970687
669.6458788142443,-21.319655281446103
669.7456719902793,-21.325008924113718
669.8454649173486,-21.32977980355281
723.5291732708488,-23.89837985651866
818.3045965172246,-28.43194440255502
912.1489609333325,-32.91891652052618
953.3041030158024,-34.888258334271086
953.4038339434569,-34.893031577350484
953.503564748197,-34.89619940087505
1006.8850381811249,-36.592339509667
1100.614601715826,-39.570323025580365
1126.1701589869222,-40.38218991667782
1126.2698665314738,-40.38535836365372
1126.3695738600145,-40.38689689412604
1195.2869526249556,-41.45124761149236
1197.24211458884,-41.48146898275081
1197.3416517275475,-41.483007545359214
1197.4411888684776,-41.485292319348446
1289.842634940745,-43.60593561757014
1292.1729482013122,-43.65940062706068
1292.272499063373,-43.66168429675781
1292.3720511432414,-43.665414596311166
1379.1749362114954,-46.912397129413876
1379.2748516868744,-46.916128190934614
1379.3747667785506,-46.91844665687495
1383.696202726089,-47.01873336371136
1466.6129386705568,-48.94311192281202
1466.7128315523944,-48.945430231315186
1466.812724429223,-48.94680064287604
1478.5959870727866,-49.1084523992522
1519.9686436192292,-49.67603185470216
1520.0685405519944,-49.67740231170319
1520.168437495823,-49.67894981705831
1573.498651872207,-50.505089127562314
1667.40471057653,-51.95983946850902
1762.2460323834557,-53.42943155460853
1856.152099924695,-54.88421534866575
1951.1323960794216,-56.35495177366829
2046.1138346495627,-57.82582350588018
2140.0895905910193,-59.28083878835787
2235.0436524645675,-60.7506818472466
2329.017303671671,-62.205514897177636
2358.1235043975557,-62.65614199991796
2358.2234864305965,-62.65769000929686
2358.3234684747927,-62.66081931866211
2423.999179858729,-64.71607870789012
2517.977847454787,-67.65749053747822
2611.929913654001,-70.59918806179667
2706.8464846684597,-73.57162551016881
2722.6368342043397,-74.06616469149776
2722.736728436062,-74.0692932516431
2722.836622714508,-74.07080254358334
2800.759855587741,-75.2480123746227
2832.198917367372,-75.72294178856282
2832.2988395084913,-75.72445131076893
2832.3987616319064,-75.72410714604302
2895.682761834322,-75.50611586092782
2959.15337744527,-75.28745622737915
2959.253284210333,-75.28711203514285
2959.353190971155,-75.2878874565049
2989.59568545262,-75.52261542479391
3058.4580512207476,-76.056905865722
3058.557972477497,-76.0576808573278
3058.657893685382,-76.06093007027266
3084.518841606318,-76.9018232506387
3178.4227775026775,-79.955029653147
3273.368568715869,-83.04156306493678
3367.329018306082,-86.0960260007123
3462.2405317373205,-89.18226677117491
3556.1295067648557,-92.23560610075401
3578.706387195909,-92.96982305156598
3578.806272483504,-92.97307139544318
3578.9061577712646,-92.97723741637492
3651.02053001469,-95.98498751948682
3745.9192396692843,-99.94287232159513
3840.8293703344316,-103.90092213971911
3934.747948039325,-107.81785219136691
4029.628255624266,-111.77559203894089
4123.557884245823,-115.69097973823045
4133.662463457526,-116.11185618622767
4133.76239761394,-116.11601862263888
4133.862331766617,-116.11804797221885
4219.492486902885,-117.85718651117895
4314.332716028426,-119.78612380900995
4407.998623285688,-121.69456285158594
4477.656152341298,-123.11372961671077
4477.755869469286,-123.115760038816
4477.855586770802,-123.1195941665992
4502.688240462822,-124.07419336025123
4596.449841684931,-127.67836211649228
4679.6349989672735,-130.87604177709363
4679.7347630471795,-130.87987613237055
4679.834527163142,-130.8819182963689
4690.2154426089055,-131.0944104626924
4784.998750559871,-133.0345377788526
4878.735235161365,-134.95406675183222
4972.424663256093,-136.87239579867492
4975.780159676993,-136.9410606770707
4975.879840141468,-136.94310041442077
4975.979520704204,-136.94728891452723
5067.151716022866,-140.77604508226614
5084.709257104774,-141.5129651680072
5084.808995685155,-141.51715150173914
5084.90873427937,-141.5197736982991
5161.90649813716,-143.5442552534696
5255.702763891077,-146.0096658091261
5350.5258018154,-148.50081758333
5379.402034153214,-149.25936836337678
5379.5018484855245,-145.53659100332698
5379.601662800365,-145.53863483144596
5444.348150493932,-146.86442709603034
5539.196198630954,-148.80648348366958
5633.076563713745,-150.72872617602297
5674.453698937881,-151.57602290069008
5674.553576331442,-151.5780681697779
5674.653453741291,-151.5838937106564
5727.960509086191,-154.69318365325125
5821.872994916971,-160.17066085243823
5915.793245839097,-165.64801612821793
6010.712818732456,-171.18358272247679
6105.645832158108,-176.720035662378
6163.50992575717,-180.09501413174803
6163.609832555625,-180.10084200181882
6163.709739198787,-180.10209463888714
6199.558887011856,-180.5516786503631
6294.423375352673,-181.7414917981896
6387.3574148070475,-182.906583355536
6428.333299679891,-183.4198785081062
6483.2709761333035,-184.10772958349662
