VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
85.08139293503541,-3.4951516424098372
85.1809292569356,-3.4992396907709917
85.28046682391329,-3.502892477712521
93.90132381721537,-3.819255717979104
187.62838798788624,-7.2587146817004395
282.4195314479636,-10.736663328616487
376.07686629517957,-14.172542662558044
441.73535791892465,-16.5814977954833
441.8350426518318,-16.585155481443508
441.93472746579147,-16.587009625884093
470.74171734847494,-17.122984914676636
564.4020765828683,-18.866979144893776
656.0042316785674,-20.57142724233927
656.1041433888981,-20.573284077116114
656.2040551631679,-20.577752091721777
659.2056371107572,-20.711981741684212
753.1399541442524,-24.912681044112105
848.0974688852832,-29.159127353927033
942.0700905409642,-33.3615126150562
980.6727096359929,-35.08778271304436
980.7726549855998,-35.092252162707155
980.8726002506259,-35.093239723310035
1037.0085063082124,-35.64793808799368
1130.9285460713354,-36.575941419707306
1135.8254164523019,-36.62432099202306
1135.9253505205065,-36.625308290400426
1136.0252844986394,-36.62905101091383
1225.7757939159133,-39.993311735323005
1319.5143896040822,-43.508951801397416
1414.3315937874045,-47.06325915565503
1457.9074075503104,-48.6971204718302
1458.0072218567457,-48.700864485077545
1458.107035997033,-48.70317067977885
1508.1379194884162,-49.86043281495404
1602.6696586201242,-52.05249079183159
1664.4383084505575,-53.482077198201296
1664.5381275549407,-53.48437986331737
1664.6379468961882,-53.48786394623494
1696.381020424697,-54.59726563392178
1790.1031780401458,-57.88153103617151
1884.695686555343,-61.20239563395626
1979.243590558462,-64.5253635680674
1988.3787278662467,-64.8465825446583
1988.478243081082,-64.85008129003108
1988.577758752218,-64.85291795571356
2072.9212969524824,-67.25492902966289
2166.8217422510847,-69.92173035380983
2261.7578208808436,-72.61572611844167
2355.57171700612,-75.28522124971641
2448.603212548081,-77.93720290679084
2448.702697044044,-77.94003904050442
2448.802181504556,-77.94210689537613
2450.0973918610384,-77.96902874121952
2543.9579285794425,-79.92318972464818
2638.817483725016,-81.90210760640548
2731.5165741847636,-83.83650475259128
2731.6163849683844,-83.838587373275
2731.7161958075976,-83.84172976710943
2732.6144958597533,-83.87001136308209
2827.5213020431747,-86.85604421471726
2921.500758252346,-89.81102923950311
3015.4541013084563,-92.76679588015213
3103.5809597209013,-95.54006347661561
3103.680892550634,-95.54320753989487
3103.780825342639,-95.54739357513608
3110.3760491827156,-95.8236578006472
3204.32138385734,-99.75891534951734
3299.2648201043958,-103.73599105644826
3393.2339323355,-107.67231197587898
3488.1567464112804,-111.64870724365937
3514.967074201161,-112.77182065551824
3515.0669696547247,-112.77600535473357
3515.1668652030944,-112.78106749815379
3582.0509109512427,-116.17022821240062
3675.8251442942596,-120.92140203043164
3769.4552321872434,-125.66498571447119
3864.1550944186397,-130.46369055672403
3947.9498607710543,-134.71055808423625
3948.049255739759,-134.7155956063234
3948.1486507871386,-134.72074573034297
3957.5528226584292,-135.2080209449523
4052.340319334253,-140.1138723178392
4146.312861083636,-144.97171200467528
4188.778243513158,-147.16744257549726
4188.878145459692,-147.17260973909106
4188.978047063642,-147.1776304973282
4240.179315429328,-149.75241743946754
4334.903886281483,-154.51620387488583
4362.216622116712,-155.88891451639392
4362.316482124026,-155.89393290077896
4362.416342395302,-155.8956776722316
4429.80750886917,-157.07308220940286
4523.793567435686,-158.71508903387803
4538.641675283026,-158.97449780197167
4538.741661475508,-158.9762446041259
4538.84164764207,-158.98052638685658
4617.754615031911,-162.36134863062216
4712.538547517449,-166.4250922883166
4740.986079458641,-167.64504277866035
4741.085706873273,-167.64931499842533
4741.185334317261,-167.65594057655835
4806.192473450745,-171.97846410267994
4900.833757410887,-178.27168512301614
4994.435590248653,-184.49558635152061
5067.776577632289,-189.3699319879579
5067.876149553557,-189.37654799678057
5067.975721495167,-189.39234688092438
5088.0257573049275,-192.57353980726293
5090.508014251763,-192.96736695938853
5090.607594820937,-192.98316604831598
5090.70717559543,-192.98700639660456
5122.187092961363,-194.20099613277125
5122.2867356730285,-194.2048386276365
5122.386378570223,-194.2166582075406
5152.205586104987,-197.75372461670304
5152.305281879288,-197.7655500018118
5152.404977820415,-197.77358804856158
5182.706790988171,-200.21668001696162
5276.483288322247,-207.77739109025606
5371.305557005645,-215.42241727280452
5420.229029103761,-219.36686883844777
