VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
60.04373862955549,-1.9621494087095925
60.13898366436655,-12.894027621659916
60.23422670514458,-12.897532331437105
90.74619880538813,-14.02029479133489
107.92665294759541,-14.652490362317621
108.02256472208643,-14.656019666941575
108.11848337684586,-14.66069647220138
183.34174151130986,-18.328971207376526
277.9410295173396,-22.94280808621079
371.66565343451515,-27.514310782478788
466.4867884626869,-32.13958081018791
561.397543414168,-36.76961188877067
655.3408872668745,-41.35220510720137
750.3127365784135,-45.98419017969718
818.4798361027902,-49.308393684861585
818.5797977635148,-49.31326783980512
818.6797593390286,-49.319002362266474
844.2862212093034,-50.78798334170642
939.1456437502447,-56.23001030238811
1032.9167804053181,-61.60980411019409
1127.753098076663,-67.05070773085026
1222.6202253526003,-72.49312728824407
1316.4942718521809,-77.87833175423475
1411.2806600532183,-83.31585569591152
1505.9312167885219,-88.74561413732954
1599.6340353525973,-94.12091221801711
1635.393792748844,-96.17225274573684
1635.493527083943,-96.17797395145863
1635.593261486935,-96.18269121111189
1694.3886809590347,-98.96363542906147
1788.1960430105134,-103.40101051473357
1883.0379243671903,-107.88777168514935
1977.9159309563472,-112.37641913116931
2071.853892631829,-116.81978168882415
2166.7802981342875,-121.30845930836585
2260.6232310873283,-125.74433486886664
2271.9489926455435,-126.27956611598529
2272.0488080711557,-126.28428317839644
2272.1486236259134,-126.28894138701435
2355.4869414631453,-130.17819198957477
2449.441673728683,-134.56270082007177
2544.368048031105,-138.99283478471807
2638.2353940786843,-143.37399778591316
2733.1661564179217,-147.80460241486435
2827.1144969700626,-152.1887684374924
2921.8952432072433,-156.61229696651753
3016.519333048373,-161.0294285141099
3110.2392612488347,-165.40392288730254
3205.075333464203,-169.83015904416607
3300.001131374228,-174.26046979688363
3393.935346421912,-178.64380346982944
3488.8723406993577,-183.07345026746043
3583.7869066038784,-187.5012549905132
3677.6722338569743,-191.88008932072262
3772.6368356099674,-196.30918787860173
3866.6050992653572,-200.69145980260146
3919.4989197954083,-203.15766682513458
3919.598787658747,-204.5110699135421
3919.698655340003,-204.5127596824732
3961.4844088927102,-205.22005416011052
4056.101584114308,-206.82273829441874
4150.409925694487,-208.41897402906034
4166.420731683136,-208.68965705677329
4166.519940939811,-208.6913342007865
4166.619150538249,-208.6940911392121
4243.759272299799,-210.83785369086945
4337.32370803418,-213.43819745162364
4432.050624002078,-216.07084886759185
4525.904474129676,-218.6791283504299
4619.834911610139,-221.28965674965548
4714.7709309218935,-223.928661464568
4809.654913090061,-226.56665910772244
4903.543843993768,-229.17702997784363
4998.36140965206,-231.81327263298954
5092.123358355305,-234.42022265912237
5186.734021614049,-237.05092307052655
5281.17248792132,-239.67695911392912
5469.444123449652,-244.91189904628663
5521.312609228043,-246.35410012430657
