VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09650156911328622,-0.0034827377039619023
0.19300866809390982,-0.007961128183524124
5.547990851249153,-0.2564335166262026
71.51611938324339,-3.3145973002137907
71.61366633080127,-3.3191157588662463
71.7112140325579,-3.324003710253237
98.0167739431929,-4.642613780313695
114.06502576849596,-5.447386214184007
114.16284884604977,-5.452291961933952
114.26067256574788,-5.4548523534704145
179.8859563759122,-7.172964716417482
179.98417694644502,-7.175536891161755
180.0823980586291,-7.177098049061897
190.14307899322955,-7.337013378521078
215.98333045225922,-7.747734311378736
216.08214156351767,-7.749304756604033
216.180954514277,-7.752899571431044
271.96009313203183,-9.781846576068347
272.0597026882267,-9.785469311762427
272.1593132337747,-9.786198274627168
283.30164873600324,-9.86773721161444
343.82782188604097,-10.310636212709142
343.92753706343456,-10.3113658492166
344.0272522457709,-10.315305469079249
378.0304081682433,-11.658701414600728
420.32515718078014,-13.329406877463043
420.4250294286393,-13.333351405442954
420.52490196345093,-13.335383675970661
472.90905910379297,-14.401185485738097
531.0940903363025,-15.585098317989832
531.1940070754974,-15.587131787428007
531.2939236958465,-15.588478798850701
566.8399124695804,-16.067801844254063
660.6575214417654,-17.33402600071895
755.4799099805197,-18.61372802346341
787.0781764141922,-19.039771573405233
787.178091456887,-19.04111844736326
787.2780065966509,-19.03945052680865
849.4109790265683,-18.00246605998109
944.3522819463484,-16.41798142173502
979.8507288038567,-15.825496298015423
979.9506730943555,-15.82382834152304
980.0506174699409,-15.826638343640298
1038.3064009418035,-17.464630411641338
1132.2832427741223,-20.107804570263397
1175.8330979685152,-21.333064286405715
1175.9329473185362,-21.33587369855195
1176.032796465312,-21.33877766862679
1226.1301670549028,-22.796465489518596
1267.7254874747841,-24.006816450508268
1267.8253262864268,-24.009720350266434
1267.9251653266388,-24.01392321084677
1319.9839569927954,-26.20473301522543
1411.287501755241,-30.045225298970763
1411.3874682818596,-30.049429428625444
1411.4874348364501,-30.051721514901146
1414.9387977642573,-30.130855813886228
1508.9016704441947,-32.28517123891106
1656.4727468863089,-35.66886944676298
1656.5726926686043,-35.671161429452695
1656.6726384387612,-35.67250626434907
1691.8078299577887,-36.14529265771853
1697.00162648473,-36.21518301738797
1697.1015709341482,-36.21652789425025
1697.2015154548749,-36.218190439629325
1786.7772264041464,-37.70798213926537
1836.0151080219075,-38.52671952841956
1836.1151037305026,-38.52838223534309
1836.2150994491558,-38.531118486613195
1880.7718836244953,-39.75034461619907
1881.0302120889237,-39.757413300430926
1881.1302092582328,-39.7601495397048
1881.2302064323012,-39.7617961772703
1969.9102210879332,-41.22212710637177
1970.0101994282782,-41.223773549325415
1970.1101777215335,-41.22530941709556
1975.7630714546567,-41.3121497926677
2070.7085264269085,-42.77111147678443
2105.8437893350683,-43.31124861830358
2105.94366973318,-43.31278435325294
2106.043550027135,-43.314222666793285
2164.573809766769,-44.15741424674525
2259.5016921821475,-45.52367495974977
2272.345611501922,-45.70827642333825
2272.445589238205,-45.709713288199055
2272.545566940552,-45.71057005447619
2353.4641910394303,-46.404248913206175
2448.3564442448214,-47.21815168098874
2542.176685064763,-48.02315318993533
2637.002933229647,-48.836845845846256
2730.8464483794787,-49.64214667627675
2760.3916260173055,-49.895706791226985
2760.4914800325078,-49.896563696327576
2760.591334175467,-49.89854497387023
2825.72545132418,-51.190753683631556
2919.6748626268177,-53.05403318272147
2970.4268094637455,-54.06041104400356
2970.5267651385666,-54.06239314352388
2970.626720777198,-54.063736630849235
3013.6323587015286,-54.641774869071014
3108.570925200468,-55.91773408184417
3183.233340581652,-56.92093554556595
3183.333330057445,-56.9222788495299
3183.4333195727613,-56.92408170572162
3202.5440199342765,-57.26867803015011
3296.528090861729,-58.96420648701314
3390.4629443669764,-60.660047999277594
3484.3621846848223,-62.35568877429432
3565.3545703677055,-63.81837792110491
3565.4544442527294,-63.82018177286409
3565.5543181153485,-63.82060213893601
3579.247899433852,-63.87823924909753
3674.131779678263,-64.27758793252542
3768.0480745795862,-64.6727232916819
3786.9914009546324,-64.75240010847483
3787.091338060001,-64.75282044147389
3787.191275177887,-64.75425429931056
3861.9919954786697,-65.82743072169615
3955.9554833639227,-67.17537036738031
4049.9400822155308,-68.52328358267914
4094.265708603513,-69.15886766979202
4094.3657044091856,-69.1603014373195
4094.465700222227,-69.16123943016464
4144.934319105798,-69.63470299238725
4239.923314505808,-70.52601354035323
4334.900911148311,-71.41741304818424
4428.865373589264,-72.29947970387366
4522.772452552978,-73.18148854158608
4616.613371750603,-74.06330540029376
4676.055989188499,-74.62189103580386
4676.155819051339,-74.62282913567469
4676.2556489183835,-74.62273465385078
4710.452938367057,-74.59036947746245
4805.314375168314,-74.50060171227051
4899.209624954217,-74.4117662016688
4993.150172939731,-74.32291641355005
5088.1398683343605,-74.23313901873007
5181.125624934036,-74.14531209331108
5183.774136688367,-74.1428109429944
5183.874110008811,-74.14271653233845
5183.97408331507,-74.14226391877855
5275.094117276128,-73.72970077159516
5315.463034080594,-73.54690114998084
5315.562983325639,-73.54644853765058
5315.662932544437,-73.54628660136586
5369.044262443258,-73.45979400395845
5463.988153422285,-73.30595744874154
5557.952051430721,-73.15374218819306
5632.568480658871,-73.03290382249361
5632.668469797642,-73.03274191389028
5632.768458951025,-73.03337654478855
5650.937130019,-73.1486923968314
5745.929449384665,-73.75159501093367
5839.923385871764,-74.34815374281789
5933.9173580470015,-74.94471243123735
6028.909368698742,-75.5476040821577
6122.900383920301,-76.14414373348882
6179.492497349859,-76.50332863805852
6179.592489899401,-76.50396329179785
6179.6924824435255,-76.5056071908748
6217.8923037470595,-77.13365246919057
6311.880278312721,-78.67892063548061
6406.859164953251,-80.24050020838877
6500.826818564032,-81.78570717685034
6595.784504254968,-83.34741100500105
6689.727093744649,-84.89262172724557
6784.656080844594,-86.45422470814265
6820.383894343546,-87.04194445201574
6820.483822973587,-87.04358822270478
6820.583751601509,-87.04415609164789
6878.587472306827,-87.37376454997684
6973.527344518054,-87.91317203814651
7067.490590821099,-88.44693894943521
7156.128795197743,-88.95040378530939
