VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
31.080875932893633,-1.4252538354976423
32.218702852734765,-1.4774136270734743
32.31626615554458,-1.481886137951733
32.41383039298992,-1.4841658643872506
62.342310322832674,-2.18372670068311
93.69749906626791,-2.9169093282725953
124.21198529638056,-3.630132588408742
155.86205426407142,-4.369372099024986
187.68381359895514,-5.112236928272978
206.79825932915915,-5.55835737459347
206.8981703287608,-5.560689332047332
206.99808200574924,-5.567402838270937
219.64400385178365,-6.417145133065787
251.63876148654722,-8.567027091607088
281.94636809007443,-10.603587625902946
282.0463541449907,-10.610306547432629
282.1463401767845,-10.615299689523454
346.6194700534206,-13.835241539709386
441.581569497793,-18.578253469551782
536.5627174667806,-23.32060124464988
560.7544722541949,-24.528101098750994
560.8544406448741,-24.533091025463364
560.9544090731475,-24.53591039163257
631.539179605267,-26.52653397172071
727.536212433696,-29.23370746506953
778.6192802535904,-30.674243671064687
778.7192655293293,-30.677063232551518
778.819250773119,-30.681363304953265
822.5220531907003,-32.56088073798492
917.4759201418283,-36.64457281324576
1013.4247573023315,-40.7716873231966
1076.7949076068433,-43.49776164582727
1076.894822596037,-43.50205967448892
1076.994737527289,-43.50417457954063
1107.3497977547543,-44.146597478840704
1202.199750477159,-46.15680205082572
1296.6314594726307,-48.168488752306075
1391.818562819257,-50.200500079148696
1460.0674072320555,-51.65171475535499
1460.1671933165735,-51.65383141563325
1460.2669797309034,-51.6562475832834
1486.5043093581278,-52.29152385758971
1581.3968212492314,-54.589034458986134
1676.3044324663479,-56.88682884342052
1772.1876802771408,-59.20812022085374
1830.0895249301948,-60.60984078104775
1830.1893817859154,-60.61225814258614
1830.2892386009225,-60.61623876606609
1867.0545787252654,-62.081982708306896
1960.9227927294455,-65.8242199528886
1995.3571678463268,-67.19661906685178
1995.457084416175,-67.2006006313768
1995.557001081228,-67.20707292759653
2040.7598803014525,-70.13486390690741
2040.8598314290134,-70.14133704979577
2040.9597826134373,-70.14410104602212
2055.851590342804,-70.55592567359417
2151.820219190505,-73.20977928098728
2246.803379118954,-75.83708919668607
2341.7339843356117,-78.46428201595518
2418.7425627206203,-80.59612151613146
2418.842385632427,-80.59888529866475
2418.9422084299813,-80.60123611218478
2436.5903330872165,-81.01687678176131
2522.921884524947,-83.04801977430725
2523.021845688418,-83.05036898820617
2523.1218068111925,-83.05143149178366
2531.512132987287,-83.14061141119419
2627.474402538139,-84.1606252188285
2722.449275963833,-85.17016006801168
2766.645091850031,-85.63992698836591
2766.7450795725945,-85.64098980372364
2766.845067298564,-85.64125240018984
2817.436687729326,-85.77412549368091
2823.5277978503937,-85.7901235985446
2823.6277852210596,-85.79038621055952
2823.727772614552,-85.78899609590371
2912.431180955364,-84.55581049657667
3007.428627576703,-83.2351403023822
3095.4987113182874,-82.01079774951904
3095.5986876555,-82.00940794955386
3095.698663938331,-82.01157219666493
3101.4185438012446,-82.1353961629502
3195.3847077530777,-84.17034640066959
3290.33475363834,-86.22761558072489
3386.279870754839,-88.30671755755793
3481.1818634680553,-90.3641601183499
3577.0545020827194,-92.44325998550994
3671.8978860697052,-94.50044457997501
3681.078867766252,-94.69963864015699
3681.1786583927824,-94.70180355442972
3681.2784492663077,-94.70473950596897
3766.7588863673363,-97.21754787882855
3767.1052849819853,-97.22772214854922
3767.205183288744,-97.23065631280224
3767.305081666327,-97.23325587555519
3861.687576780125,-99.68916078624898
3911.488508471143,-100.98490505746122
3911.5884790667797,-100.98750604074849
3911.688449676717,-100.98845441539925
3957.6535630176413,-101.42458086681654
4052.6189154268413,-102.32579003483806
4144.581400502936,-103.19854241885696
4174.350316934719,-103.48107364831958
4174.4502688106595,-103.48202227983893
4174.550220683221,-103.48403601283826
4238.535519675349,-104.77317363825387
4278.827802758548,-105.58498303987108
4278.927748690157,-105.5869967749586
4279.02769461286,-105.58956088175546
4334.482823898527,-107.01223949476298
4429.452913024685,-109.45081303690858
4524.385827621459,-111.89050455507822
4620.064225189962,-114.35202848322297
4635.44678450857,-114.7481896440022
4635.546146669664,-114.75074835873784
4635.645509430794,-114.75372619796872
4714.615627541845,-117.11700237987134
4793.414783745401,-119.47177861361706
