VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
0.09683376214093187,-10.131642978978562
0.19367289404203802,-10.131354725372148
62.33658723481656,-9.946367641810866
155.881110661361,-9.667883998858088
250.71904873462222,-9.38554821456637
345.6833053566198,-9.102833916182135
407.148075782754,-8.919847809369458
407.24805924699257,-8.919550151931617
407.3480427178817,-8.920639326743185
439.6665868208372,-9.272699634651872
534.6576497315333,-10.307462794262392
629.5770565821417,-11.341579855094096
723.3303387847873,-12.36318150016632
818.1409807167219,-13.396255235476929
913.0730861484595,-14.430354898146106
1007.0064758349672,-15.453442370861012
1101.92723533289,-16.487333484683404
1196.825586014112,-17.520966357082216
1290.6901167533565,-18.54320577541148
1384.5395102447617,-19.56525230790794
1479.476593337384,-20.599292912873352
1574.464709181622,-21.63393185240966
1668.443497554668,-22.657646993166054
1763.377906261497,-23.691920495610248
1858.2282041556819,-24.72545472893762
1952.1101732842098,-25.74840249068984
1956.4374697778803,-25.79554688103235
1956.5374211403828,-25.79663581288878
1956.637372555391,-25.79818922141021
2047.0807661123306,-27.203803384009007
2142.0425361896755,-28.679627276253086
2236.9692225722147,-30.154863413556086
2330.8763610242763,-31.61424181082475
2357.6263241660345,-32.029961717049446
2357.726249176839,-32.03151463185168
2357.826174271385,-32.035192677927625
2425.8110444806453,-34.538046683917855
2520.7548551011387,-38.03399082244505
2615.706807743508,-41.529758251121166
2709.646159295138,-44.98711461469975
2804.561203135835,-48.48114231814907
2899.4341633336016,-51.97519235545769
2993.317312280403,-55.43245887293597
3088.1844409233254,-58.92515109427404
3183.109913391181,-62.41961017675203
3277.0964919277785,-65.8789874360973
3372.0826471124265,-69.37501330592204
3467.059460975046,-72.87126709697804
3538.869107264537,-75.51467804278764
3538.96905104928,-75.51835687946368
3539.0689947853007,-75.52159118851705
3561.0153210856515,-76.23178486534198
3655.896835023692,-79.30277935591403
3750.7078718509583,-82.37270395092128
3844.5360230383785,-85.4104220145091
3930.789373171846,-88.20191560969033
3930.88931838595,-88.20515006699134
3930.989263698755,-88.2084234995782
3939.4378296967916,-88.48513282206477
4034.3923990274816,-91.5950905460304
4128.312889124513,-94.67112352090226
4223.225148513018,-97.7796050423276
4318.158794953288,-100.88881558450521
4413.0802827601,-103.99768982004207
4507.022414093998,-107.07452110200938
4601.977294229651,-110.18450806001783
4695.919304813433,-113.26129297517036
4790.87634188807,-116.37131723569291
4885.827246759629,-119.48115494199737
4979.793871349834,-122.55876015803005
5074.781708260698,-125.66982175908561
5169.7553321991545,-128.78036544946917
5174.0629243788235,-128.92144360238126
5174.162877811342,-128.92471717580884
5174.262831120169,-128.92816199037043
5263.629200516089,-132.00990607174754
5358.435539175466,-135.28038336433565
5452.316172092667,-138.51701739685086
5547.181031781964,-141.78642653986208
5597.085551028176,-143.50632885179039
5663.9395917051925,-145.81037707947326
